The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Phosphorylation - dependent regulation of septin dynamics during the cell cycle.	"septin	42	48	Gene_or_gene_product"	"[{""token"": ""septin"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}]"
Septins are GTPases involved in cytokinesis.	"Septins	0	7	Gene_or_gene_product"	"[{""token"": ""Septins"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
Using FRAP, we show that septins are mobile within the ring at bud emergence and telophase and are immobile during S, G2, and M phases.	"septins	25	32	Gene_or_gene_product"	"[{""token"": ""septins"", ""start_span"": 25, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
In rts1 - Delta cells, the actomyosin ring contracts properly but cytokinesis fails.	"rts1	3	7	Gene_or_gene_product"	"[{""token"": ""rts1"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
The role of disulfide bonds in the assembly and function of MD - 2.	"MD - 2	60	66	Gene_or_gene_product"	"[{""token"": ""MD - 2"", ""start_span"": 60, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
To investigate the role of sulfhydryls in MD - 2 structure and function, we created 17 single and multiple Cys substitution mutants.	"MD - 2	42	48	Gene_or_gene_product"	"[{""token"": ""MD - 2"", ""start_span"": 42, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}]"
All of the MD - 2 mutant proteins, including one totally lacking Cys residues, were secreted and stable.	"MD - 2	11	17	Gene_or_gene_product"	"[{""token"": ""MD - 2"", ""start_span"": 11, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
Our data are consistent with a model in which most, possibly all sulfhydryls lie on the surface of a stable MD - 2 core structure where they form both intra - and interchain disulfide bridges.	"MD - 2	108	114	Gene_or_gene_product"	"[{""token"": ""MD - 2"", ""start_span"": 108, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}]"
These disulfide bonds produce a heterogeneous array of oligomers, including some species that can form an active complex with TLR4.	"TLR4	126	130	Gene_or_gene_product"	"[{""token"": ""TLR4"", ""start_span"": 126, ""end_span"": 130, ""type"": ""Gene_or_gene_product""}]"
Stable expression of ATF2 in human breast carcinoma BT474 cells increases transcriptional activity and confers resistance to the four DNA - damaging agents, but not to transplatin.	"ATF2	21	25	Gene_or_gene_product"	"[{""token"": ""ATF2"", ""start_span"": 21, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
Similarly, application of SB202190 at 50 micro m or SP600125 inhibited JNK activity, blocked transactivation, and sensitized parental cells to the four DNA - damaging drugs.	"JNK	71	74	Gene_or_gene_product"	"[{""token"": ""JNK"", ""start_span"": 71, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}]"
Moreover, the wild type ATF2 - expressing clones exhibited rapid DNA repair after treatment with the four DNA - damaging agents but not transplatin.	"ATF2	24	28	Gene_or_gene_product"	"[{""token"": ""ATF2"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
Conversely, expression of dnATF2 quantitatively blocks DNA repair.	"dnATF2	26	32	Gene_or_gene_product"	"[{""token"": ""dnATF2"", ""start_span"": 26, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
JNK may be a rational target for sensitizing tumor cells to DNA - damaging chemotherapy agents.	"JNK	0	3	Gene_or_gene_product"	"[{""token"": ""JNK"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Moreover, we show that the expression of NPAT accelerates S - phase entry in cells released from quiescence.	"NPAT	41	45	Gene_or_gene_product"	"[{""token"": ""NPAT"", ""start_span"": 41, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
Effects of red orpiment on cell morphology and expression of PML mRNA and protein in NB4 and HL - 60 cells.	"PML	61	64	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 61, ""end_span"": 64, ""type"": ""Gene_or_gene_product""}]"
METHODS: Cell morphology was assayed by Wright ' s staining and fluorescence staining, while PML mRNA expression was determined by RT - PCR.	"PML	93	96	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 93, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"
PML protein localization by evaluated by immunofluorescence staining.	"PML	0	3	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
The fusion protein was no longer observed in NB4 cells, PML protein was relocated, and then degraded.	"PML	56	59	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 56, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}]"
In HL - 60 cells, PML protein underwent a similar progress.	"PML	18	21	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 18, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
Activation of IRF3 requires signal - dependent phosphorylation, but little is known about the signaling pathway or kinases involved.	"IRF3	14	18	Gene_or_gene_product"	"[{""token"": ""IRF3"", ""start_span"": 14, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
Hog1 interacts with the RNA Pol II and with general components of the transcription machinery.	"Hog1	0	4	Gene_or_gene_product"	"[{""token"": ""Hog1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Experimental models have demonstrated that hdm2 overexpression can promote breast cancer development.	"hdm2	43	47	Gene_or_gene_product"	"[{""token"": ""hdm2"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
The P2 promoter is inactive in ERalpha ( - ve) cell lines such as SKBr3.	"ERalpha	31	38	Gene_or_gene_product"	"[{""token"": ""ERalpha"", ""start_span"": 31, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}]"
Genomic identification and biochemical characterization of a second spermidine / spermine N1 - acetyltransferase.	"spermidine / spermine N1 - acetyltransferase	68	112	Gene_or_gene_product"	"[{""token"": ""spermidine / spermine N1 - acetyltransferase"", ""start_span"": 68, ""end_span"": 112, ""type"": ""Gene_or_gene_product""}]"
When transiently transfected into HEK - 293 cells, SSAT - 1 decreased spermidine and spermine pools by approximately 30%, while, at the same time, significantly increasing putrescine, N ( 1) - acetylspermidine, N ( 1) - acetylspermine and N ( 1), N ( 12) - diacetylspermine pools.	"SSAT - 1	51	59	Gene_or_gene_product"	"[{""token"": ""SSAT - 1"", ""start_span"": 51, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}]"
By contrast, transfected SSAT - 2 had no effect on intracellular polyamine or acetylated polyamine pools.	"SSAT - 2	25	33	Gene_or_gene_product"	"[{""token"": ""SSAT - 2"", ""start_span"": 25, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
The data suggest that, in intact cells, SSAT - 2 may be compartmentalized or it may be inefficient at low intracellular polyamine concentrations.	"SSAT - 2	40	48	Gene_or_gene_product"	"[{""token"": ""SSAT - 2"", ""start_span"": 40, ""end_span"": 48, ""type"": ""Gene_or_gene_product""}]"
The existence of an active, but possibly sequestered, SSAT - 2 enzyme suggests that, under certain conditions, it may be recruited into basal or perturbed polyamine metabolism.	"SSAT - 2	54	62	Gene_or_gene_product"	"[{""token"": ""SSAT - 2"", ""start_span"": 54, ""end_span"": 62, ""type"": ""Gene_or_gene_product""}]"
In inside - out membrane vesicles derived from insect cells or HEK293 cells, MRP4 catalyzed the time - and ATP - dependent uptake of prostaglandin E1 ( PGE1) and PGE2.	"MRP4	77	81	Gene_or_gene_product"	"[{""token"": ""MRP4"", ""start_span"": 77, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
The MRP4 - mediated transport of PGE1 and PGE2 displayed saturation kinetics, with Km values of 2. 1 and 3. 4 microM, respectively.	"MRP4	4	8	Gene_or_gene_product"	"[{""token"": ""MRP4"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Further studies showed that PGF1alpha, PGF2alpha, PGA1, and thromboxane B2 were high - affinity inhibitors ( and therefore presumably substrates) of MRP4.	"MRP4	149	153	Gene_or_gene_product"	"[{""token"": ""MRP4"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Gene_or_gene_product""}]"
Together, these data suggest that MRP4 can release prostaglandins from cells, and that, in addition to inhibiting prostaglandin synthesis, some nonsteroidal antiinflammatory drugs might also act by inhibiting this release.	"MRP4	34	38	Gene_or_gene_product"	"[{""token"": ""MRP4"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Gene_or_gene_product""}]"
ICBP90 belongs to a new family of proteins with an expression that is deregulated in cancer cells.	"ICBP90	0	6	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
Towards elucidating the functions of this family, we analysed the expression of ICBP90 in various cancer or noncancer cell lines and in normal or breast carcinoma tissues.	"ICBP90	80	86	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 80, ""end_span"": 86, ""type"": ""Gene_or_gene_product""}]"
By using cell - cycle phase - blocking drugs, we show that in primary cultured human lung fibroblasts, ICBP90 expression peaks at late G1 and during G2 / M phases.	"ICBP90	103	109	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 103, ""end_span"": 109, ""type"": ""Gene_or_gene_product""}]"
In contrast, cancer cell lines such as HeLa, Jurkat and A549 show constant ICBP90 expression throughout the entire cell cycle.	"ICBP90	75	81	Gene_or_gene_product"	"[{""token"": ""ICBP90"", ""start_span"": 75, ""end_span"": 81, ""type"": ""Gene_or_gene_product""}]"
Identification of a novel human uridine phosphorylase.	"uridine phosphorylase	32	53	Gene_or_gene_product"	"[{""token"": ""uridine phosphorylase"", ""start_span"": 32, ""end_span"": 53, ""type"": ""Gene_or_gene_product""}]"
Uridine phosphorylase catalyzes the reversible phosphorylytic cleavage of uridine and deoxyuridine to uracil and ribose - or deoxyribose - 1 - phosphate.	"Uridine phosphorylase	0	21	Gene_or_gene_product"	"[{""token"": ""Uridine phosphorylase"", ""start_span"": 0, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
The human UPase - 2 gene was mapped to chromosome 2q24. 1 and the 2. 2 - kb mRNA was predominantly expressed in kidney.	"UPase - 2	10	19	Gene_or_gene_product"	"[{""token"": ""UPase - 2"", ""start_span"": 10, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}]"
The mouse UPase - 2 cDNA was also identified and shown to be predominantly expressed in liver.	"UPase - 2	10	19	Gene_or_gene_product"	"[{""token"": ""UPase - 2"", ""start_span"": 10, ""end_span"": 19, ""type"": ""Gene_or_gene_product""}]"
The identification of a novel uridine phosphorylase with broad substrate specificity is important for studies on both nucleoside metabolism as well as for studies on the pharmacological mechanisms of therapeutic pyrimidine nucleoside analogs.	"uridine phosphorylase	30	51	Gene_or_gene_product"	"[{""token"": ""uridine phosphorylase"", ""start_span"": 30, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"
However, NBS1 is also thought to play additional roles in the cellular response to DNA damage.	"NBS1	9	13	Gene_or_gene_product"	"[{""token"": ""NBS1"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Gene_or_gene_product""}]"
The theoretical model of the interactions is supported by experimental data from glutathione S - transferase pull - downs and co - immunoprecipitations.	"glutathione S - transferase	81	108	Gene_or_gene_product"	"[{""token"": ""glutathione S - transferase"", ""start_span"": 81, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}]"
This indicates that hc - Rel exists in different multi - protein complexes and fits a model of functional regulation mediated by differential protein - protein interaction.	"hc - Rel	20	28	Gene_or_gene_product"	"[{""token"": ""hc - Rel"", ""start_span"": 20, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
We analyzed the expression and localization of MRP5 in human heart [ 21 auricular ( AS) and 15 left ventricular samples ( LV) including 5 samples of dilated and ischemic cardiomyopathy].	"MRP5	47	51	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Gene_or_gene_product""}]"
An MRP5 - specific polyclonal antibody detected a glycoprotein of approximately 190 kd in crude cell membrane fractions from these samples.	"MRP5	3	7	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
Immunohistochemistry with the affinity - purified antibody revealed localization of MRP5 in cardiomyocytes as well as in cardiovascular endothelial and smooth muscle cells.	"MRP5	84	88	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}]"
Furthermore, we could detect MRP5 and ATP - dependent transport of [ ( 3) H] cGMP in sarcolemma vesicles of human heart.	"MRP5	29	33	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
In addition, we screened genomic DNA from our samples for 20 single - nucleotide polymorphisms in the MRP5 gene.	"MRP5	102	106	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 102, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}]"
These results indicate that MRP5 is localized in cardiac and cardiovascular myocytes as well as endothelial cells with increased expression in ischemic cardiomyopathy.	"MRP5	28	32	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Therefore, MRP5 - mediated cellular export may represent a novel, disease - dependent pathway for cGMP removal from cardiac cells.	"MRP5	11	15	Gene_or_gene_product"	"[{""token"": ""MRP5"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
Pharmacological analysis of signal transduction pathways required for oxidative burst in chicken heterophils stimulated by a Toll - like receptor 2 agonist.	"Toll - like receptor 2	125	147	Gene_or_gene_product"	"[{""token"": ""Toll - like receptor 2"", ""start_span"": 125, ""end_span"": 147, ""type"": ""Gene_or_gene_product""}]"
mTOR signaling to translation.	"mTOR	0	4	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
We then describe how the TOR pathway can modulate translation in yeast and in mammals, through the modulation of the phosphorylation of key translation components, and the regulation of the abundance of ribosomes and translation factors.	"TOR	25	28	Gene_or_gene_product"	"[{""token"": ""TOR"", ""start_span"": 25, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
Protein phosphatases that regulate multifunctional Ca2 + / calmodulin - dependent protein kinases: from biochemistry to pharmacology.	"Ca2 + / calmodulin - dependent protein kinases	51	97	Gene_or_gene_product"	"[{""token"": ""Ca2 + / calmodulin - dependent protein kinases"", ""start_span"": 51, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
Multifunctional Ca ( 2 +) / calmodulin - dependent protein kinases ( CaMKs) play pivotal roles in Ca ( 2 +) signaling pathways, such as the regulation of the neuronal functions of learning, memory, and neuronal cell death.	"CaMKs	69	74	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}]"
"Although the activation mechanisms for multifunctional CaMKs through phosphorylation, which correspond to "" switch on, "" have been extensively studied, the negative regulatory mechanisms through dephosphorylation, which correspond to "" switch off, "" have not."	"CaMKs	55	60	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 55, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}]"
In this review, we focused on the regulation of multifunctional CaMKs by the protein phosphatases responsible.	"CaMKs	64	69	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 64, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
We first summarized the current understanding of negative regulation of CaMKs by known protein phosphatases and their physiological significance.	"CaMKs	72	77	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 72, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}]"
We then discussed newly developed methods for detection of protein phosphatases involved in the regulation of CaMKs.	"CaMKs	110	115	Gene_or_gene_product"	"[{""token"": ""CaMKs"", ""start_span"": 110, ""end_span"": 115, ""type"": ""Gene_or_gene_product""}]"
Soluble forms of Toll - like receptor ( TLR) 2 capable of modulating TLR2 signaling are present in human plasma and breast milk.	"TLR2	69	73	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
We have therefore sought specific regulatory mechanisms that may modulate TLR signaling.	"TLR	74	77	Gene_or_gene_product"	"[{""token"": ""TLR"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}]"
In this study, we tested for the possible existence of a functionally active soluble form of TLR2.	"TLR2	93	97	Gene_or_gene_product"	"[{""token"": ""TLR2"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Gene_or_gene_product""}]"
Moreover, an intracellular pool of sTLR2 is maintained.	"sTLR2	35	40	Gene_or_gene_product"	"[{""token"": ""sTLR2"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
sTLR2 was found naturally expressed in breast milk and plasma.	"sTLR2	0	5	Gene_or_gene_product"	"[{""token"": ""sTLR2"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Depletion of sTLR2 from serum resulted in an increased cellular response to bacterial lipopeptide.	"sTLR2	13	18	Gene_or_gene_product"	"[{""token"": ""sTLR2"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
Notably, serum sTLR2 was lower in tuberculosis patients.	"sTLR2	15	20	Gene_or_gene_product"	"[{""token"": ""sTLR2"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
These findings suggest the existence of a novel and specific innate immune mechanism regulating microbial - induced TLR triggering, and may lead to new therapeutics for the prevention and / or treatment of severe infectious diseases.	"TLR	116	119	Gene_or_gene_product"	"[{""token"": ""TLR"", ""start_span"": 116, ""end_span"": 119, ""type"": ""Gene_or_gene_product""}]"
Vasoactive effects of methylamine in isolated human blood vessels: role of semicarbazide - sensitive amine oxidase, formaldehyde, and hydrogen peroxide.	"semicarbazide - sensitive amine oxidase	75	114	Gene_or_gene_product"	"[{""token"": ""semicarbazide - sensitive amine oxidase"", ""start_span"": 75, ""end_span"": 114, ""type"": ""Gene_or_gene_product""}]"
Semicarbazide significantly blocked MA - induced relaxation (% inhibition: 82. 5 + / - 4. 8, n = 7) and SSAO activity (% inhibition: 98. 1 + / - 1. 3, n = 26) in LIMA.	"SSAO	104	108	Gene_or_gene_product"	"[{""token"": ""SSAO"", ""start_span"": 104, ""end_span"": 108, ""type"": ""Gene_or_gene_product""}]"
We conclude that vascular SSAO activity may convert endogenous amines, like MA, to vasoactive metabolites.	"SSAO	26	30	Gene_or_gene_product"	"[{""token"": ""SSAO"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Gene_or_gene_product""}]"
Crystal structures of human bifunctional enzyme aminoimidazole - 4 - carboxamide ribonucleotide transformylase / IMP cyclohydrolase in complex with potent sulfonyl - containing antifolates.	"aminoimidazole - 4 - carboxamide ribonucleotide transformylase / IMP cyclohydrolase	48	131	Gene_or_gene_product"	"[{""token"": ""aminoimidazole - 4 - carboxamide ribonucleotide transformylase / IMP cyclohydrolase"", ""start_span"": 48, ""end_span"": 131, ""type"": ""Gene_or_gene_product""}]"
The AICAR transformylase inhibitors BW1540 and BW2315 are sulfamido - bridged 5, 8 - dideazafolate analogs with remarkably potent K ( i) values of 8 and 6 nm, respectively, compared with most other antifolates.	"AICAR transformylase	4	24	Gene_or_gene_product"	"[{""token"": ""AICAR transformylase"", ""start_span"": 4, ""end_span"": 24, ""type"": ""Gene_or_gene_product""}]"
Potent and selective inhibition of the AICAR transformylase active site, compared with other folate - dependent enzymes, should therefore be pursued by further design of sulfonyl - containing antifolates.	"AICAR transformylase	39	59	Gene_or_gene_product"	"[{""token"": ""AICAR transformylase"", ""start_span"": 39, ""end_span"": 59, ""type"": ""Gene_or_gene_product""}]"
Phosphorylation of this site is increased by insulin in a rapamycin - sensitive fashion.	"insulin	45	52	Gene_or_gene_product"	"[{""token"": ""insulin"", ""start_span"": 45, ""end_span"": 52, ""type"": ""Gene_or_gene_product""}]"
Regulation of the phosphorylation of Ser78 also requires amino acids and the protein kinase phosphoinositide - dependent kinase 1.	"phosphoinositide - dependent kinase 1	92	129	Gene_or_gene_product"	"[{""token"": ""phosphoinositide - dependent kinase 1"", ""start_span"": 92, ""end_span"": 129, ""type"": ""Gene_or_gene_product""}]"
The replication fork block protein Fob1 functions as a negative regulator of the FEAR network.	"Fob1	35	39	Gene_or_gene_product"	"[{""token"": ""Fob1"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
BACKGROUND: The protein phosphatase Cdc14 is a key regulator of exit from mitosis in budding yeast.	"Cdc14	36	41	Gene_or_gene_product"	"[{""token"": ""Cdc14"", ""start_span"": 36, ""end_span"": 41, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: Fob1 functions as a negative regulator of the FEAR network.	"Fob1	13	17	Gene_or_gene_product"	"[{""token"": ""Fob1"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
The p53 tumor suppressor gene is believed to play an important role in neuronal cell death in acute neurological disease and in neurodegeneration.	"p53	4	7	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
Using DNA microarray analysis, we have found a striking induction of the proapoptotic gene, SIVA.	"SIVA	92	96	Gene_or_gene_product"	"[{""token"": ""SIVA"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Gene_or_gene_product""}]"
SIVA up - regulation is sufficient to initiate the apoptotic cascade in neurons.	"SIVA	0	4	Gene_or_gene_product"	"[{""token"": ""SIVA"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Sequence analysis has shown that these consensus sites are also conserved between mouse and human SIVA genes.	"SIVA	98	102	Gene_or_gene_product"	"[{""token"": ""SIVA"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Gene_or_gene_product""}]"
Inactivating Cdc25, mitotic style.	"Cdc25	13	18	Gene_or_gene_product"	"[{""token"": ""Cdc25"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Gene_or_gene_product""}]"
The Cdc25 protein phosphatase family activates Cdk1 - cyclin B at the G2 / M transition by removing inhibitory phosphate groups.	"Cdc25	4	9	Gene_or_gene_product"	"[{""token"": ""Cdc25"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Gene_or_gene_product""}]"
Cdc25 family members, held inactive during interphase, are activated during mitotic progression in an amplification loop involving Cdk1 - cyclin B.	"Cdc25	0	5	Gene_or_gene_product"	"[{""token"": ""Cdc25"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Here, we discuss the mechanisms of Cdc25 regulation and how they pertain to both mitotic entry and exit.	"Cdc25	35	40	Gene_or_gene_product"	"[{""token"": ""Cdc25"", ""start_span"": 35, ""end_span"": 40, ""type"": ""Gene_or_gene_product""}]"
Alterations in transcription of genes regulated by members of the E2F family of transcription factors can be viewed as a measure of the ebb and flow in a constantly evolving battle between repressor and activator complexes.	"E2F	66	69	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
E2F has traditionally been viewed in the context of cell - cycle control.	"E2F	0	3	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
This occurs in a manner that is significantly different from the regulation of classic E2F - responsive targets.	"E2F	87	90	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 87, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"
Thus, distinct E2F complexes directly contribute to the normal repression and oncogenic activation of Arf.	"Arf	102	105	Gene_or_gene_product"	"[{""token"": ""Arf"", ""start_span"": 102, ""end_span"": 105, ""type"": ""Gene_or_gene_product""}]"
Survivin is a putative oncogene that is aberrantly expressed in cancer cells.	"Survivin	0	8	Gene_or_gene_product"	"[{""token"": ""Survivin"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Thus, p16INK4a has the capacity to arrest cells in the G1 - phase of the cell cycle and its probable physiological role is in the implementation of irreversible growth arrest termed cellular senescence.	"p16INK4a	6	14	Gene_or_gene_product"	"[{""token"": ""p16INK4a"", ""start_span"": 6, ""end_span"": 14, ""type"": ""Gene_or_gene_product""}]"
In contrast to normal cells, the function of the p16INK4a gene or its downstream mediators is frequently deregulated in many types of human cancers, illustrating the importance of cellular senescence in tumor suppression.	"p16INK4a	49	57	Gene_or_gene_product"	"[{""token"": ""p16INK4a"", ""start_span"": 49, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
11beta - hydroxysteroid dehydrogenase type 1: a tissue - specific regulator of glucocorticoid response.	"11beta - hydroxysteroid dehydrogenase type 1	0	44	Gene_or_gene_product"	"[{""token"": ""11beta - hydroxysteroid dehydrogenase type 1"", ""start_span"": 0, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}]"
Although bidirectional, in vivo it is believed to function as a reductase generating active glucocorticoid at a prereceptor level, enhancing glucocorticoid receptor activation.	"glucocorticoid receptor	141	164	Gene_or_gene_product"	"[{""token"": ""glucocorticoid receptor"", ""start_span"": 141, ""end_span"": 164, ""type"": ""Gene_or_gene_product""}]"
In this review, we discuss both the genetic and enzymatic characterization of 11beta - HSD1, as well as describing its role in physiology and pathology in a tissue - specific manner.	"11beta - HSD1	78	91	Gene_or_gene_product"	"[{""token"": ""11beta - HSD1"", ""start_span"": 78, ""end_span"": 91, ""type"": ""Gene_or_gene_product""}]"
Therapeutic inhibition of 11beta - HSD1 reductase activity in patients with obesity and the metabolic syndrome, as well as in glaucoma and osteoporosis, remains an exciting prospect.	"11beta - HSD1	26	39	Gene_or_gene_product"	"[{""token"": ""11beta - HSD1"", ""start_span"": 26, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
E2Fs link the control of G1 / S and G2 / M transcription.	"E2Fs	0	4	Gene_or_gene_product"	"[{""token"": ""E2Fs"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Previous work has provided evidence for E2F - dependent transcription control of both G1 / S - and G2 / M - regulated genes.	"E2F	40	43	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}]"
Chromatin immunoprecipitation assays identify multiple interactions of E2F proteins that include those previously shown to activate and repress transcription.	"E2F	71	74	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 71, ""end_span"": 74, ""type"": ""Gene_or_gene_product""}]"
Thus we have identified a novel E2F6 - PcG complex ( E2F6 - EPC1) that interacts with EZH2 and may regulate genes required for cell cycle progression.	"EZH2	86	90	Gene_or_gene_product"	"[{""token"": ""EZH2"", ""start_span"": 86, ""end_span"": 90, ""type"": ""Gene_or_gene_product""}]"
Our study suggests that signaling specificity can arise from differential regulation of a single transcription factor by two MAP kinases with shared functions in distinct developmental programs.	"MAP kinases	125	136	Gene_or_gene_product"	"[{""token"": ""MAP kinases"", ""start_span"": 125, ""end_span"": 136, ""type"": ""Gene_or_gene_product""}]"
DNA binding of repressor nuclear factor - kappaB p50 / p50 depends on phosphorylation of Ser337 by the protein kinase A catalytic subunit.	"protein kinase A catalytic subunit	103	137	Gene_or_gene_product"	"[{""token"": ""protein kinase A catalytic subunit"", ""start_span"": 103, ""end_span"": 137, ""type"": ""Gene_or_gene_product""}]"
