To date, there are very few reports describing species - specific splice variants.	"splice variants	66	81	Sequence"	"[{""token"": ""splice variants"", ""start_span"": 66, ""end_span"": 81, ""type"": ""Sequence""}]"
7, this interaction is confirmed in vitro by GST - pull down analysis.	"GST	45	48	Gene_or_geneproduct"	"[{""token"": ""GST"", ""start_span"": 45, ""end_span"": 48, ""type"": ""Gene_or_geneproduct""}]"
In vitro interaction of RXR beta 3 and TACC2s.	"TACC2s	39	45	Gene_or_geneproduct"	"[{""token"": ""TACC2s"", ""start_span"": 39, ""end_span"": 45, ""type"": ""Gene_or_geneproduct""}]"
We have presented above, a detailed examination of one such gene family.	"gene	60	64	Sequence"	"[{""token"": ""gene"", ""start_span"": 60, ""end_span"": 64, ""type"": ""Sequence""}]"
Deposition of nucleotide sequences	"nucleotide sequences	14	34	Sequence"	"[{""token"": ""nucleotide sequences"", ""start_span"": 14, ""end_span"": 34, ""type"": ""Sequence""}]"
To validate the tree, the same sequence set was analyzed with tools in the PHYLIP package [ 40], using PRODIST followed by FITCH or NEIGNBOR and tree displaying using TreeView.	"sequence	31	39	Sequence"	"[{""token"": ""sequence"", ""start_span"": 31, ""end_span"": 39, ""type"": ""Sequence""}]"
In vitro interaction of TACC2 and RXR beta 3	"TACC2	24	29	Gene_or_geneproduct"	"[{""token"": ""TACC2"", ""start_span"": 24, ""end_span"": 29, ""type"": ""Gene_or_geneproduct""}]"
The cells were lysed by sonication and lysate cleared by centrifugation at 7500 rpm at 4 degrees C for 15 min.	"cells	4	9	Cell"	"[{""token"": ""cells"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Cell""}]"
I. H. S performed most of the sequence analysis and drafted the assembly of the TACC, KLP, KIF and RHAMM sequences.	"sequence	30	38	Sequence"	"[{""token"": ""sequence"", ""start_span"": 30, ""end_span"": 38, ""type"": ""Sequence""}]"
P. L. performed the identification and assembly of T. rubripes gene sequences, and the phylogenetic analysis.	"gene sequences	63	77	Sequence"	"[{""token"": ""gene sequences"", ""start_span"": 63, ""end_span"": 77, ""type"": ""Sequence""}]"
Congenital diaphragmatic hernia and other congenital diaphragmatic defects are associated with significant mortality and morbidity in neonates; however, the molecular basis of these developmental anomalies is unknown.	"molecular	157	166	Chemical"	"[{""token"": ""molecular"", ""start_span"": 157, ""end_span"": 166, ""type"": ""Chemical""}]"
Using a phenotype - driven approach, we have established that Fog2 is required for normal diaphragm and lung development, a role that has not been previously appreciated.	"Fog2	62	66	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_geneproduct""}]"
Birth defects involving the diaphragm are as common and as serious as genetic disorders such as cystic fibrosis, yet the underlying causes of these defects are unknown.	"genetic	70	77	Sequence"	"[{""token"": ""genetic"", ""start_span"": 70, ""end_span"": 77, ""type"": ""Sequence""}]"
It is unknown whether the small lungs occur because these children have a diaphragmatic defect, or whether some patients might have a genetic abnormality that affects the development of both the lung and the diaphragm simultaneously.	"genetic	134	141	Sequence"	"[{""token"": ""genetic"", ""start_span"": 134, ""end_span"": 141, ""type"": ""Sequence""}]"
Indeed, there are numerous reports implicating different chromosomal abnormalities in the pathogenesis of CDH [ 12, 13].	"chromosomal	57	68	GO_ontology"	"[{""token"": ""chromosomal"", ""start_span"": 57, ""end_span"": 68, ""type"": ""GO_ontology""}]"
One line of mice was found to have multiple embryos in independent litters that displayed pulmonary hypoplasia and a thin diaphragm.	"mice	12	16	Organism"	"[{""token"": ""mice"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Organism""}]"
Because of the lack of informative markers within this interval, an additional 39 F2 progeny from an A / J x C57BL / 6J cross were tested.	"interval	55	63	Sequence"	"[{""token"": ""interval"", ""start_span"": 55, ""end_span"": 63, ""type"": ""Sequence""}]"
In the mutant diaphragm, myotubules radiated in a dorsal - ventral orientation, and muscle tissue did not meet the entire surface of the body walls ( Figure 1B).	"mutant	7	13	Sequence"	"[{""token"": ""mutant"", ""start_span"": 7, ""end_span"": 13, ""type"": ""Sequence""}]"
At E12. 5, 20 out of 87 ( 23%) were homozygous for the mutation, and all of these appeared viable.	"mutation	55	63	Sequence"	"[{""token"": ""mutation"", ""start_span"": 55, ""end_span"": 63, ""type"": ""Sequence""}]"
At E13. 5, 13 of 49 ( 27%) were mutant and two had died.	"mutant	32	38	Sequence"	"[{""token"": ""mutant"", ""start_span"": 32, ""end_span"": 38, ""type"": ""Sequence""}]"
By E18. 5, nine of 29 embryos ( 31%) were homozygous for the mutation, of which only one embryo was viable.	"mutation	61	69	Sequence"	"[{""token"": ""mutation"", ""start_span"": 61, ""end_span"": 69, ""type"": ""Sequence""}]"
Pulmonary hypoplasia was observed in 100% of mutants evaluated for that phenotype between E11. 5 and birth ( n > 50).	"mutants	45	52	Sequence"	"[{""token"": ""mutants"", ""start_span"": 45, ""end_span"": 52, ""type"": ""Sequence""}]"
All mutants specifically evaluated for a cardiac phenotype ( n = 10) had abnormal cardiac development.	"mutants	4	11	Sequence"	"[{""token"": ""mutants"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Sequence""}]"
Experiments were conducted to evaluate the role of Fog2 in pulmonary and diaphragmatic development.	"Fog2	51	55	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene_or_geneproduct""}]"
Fog2 is expressed diffusely in the pulmonary mesenchyme during the period of branching morphogenesis, while later expression is restricted to the smooth muscles of airways and pulmonary vessels ( Figure 3).	"Fog2	0	4	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
Lungs dissected at E12 from Fog2 - / - embryos were smaller in size and lacked the development of an accessory lobe.	"Fog2	28	32	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 28, ""end_span"": 32, ""type"": ""Gene_or_geneproduct""}]"
Branching in the unaffected lobes appeared to be delayed by 6 - 12 h, but all mutants developed an intricate branching pattern in the unaffected lobes after culture for 5 d.	"mutants	78	85	Sequence"	"[{""token"": ""mutants"", ""start_span"": 78, ""end_span"": 85, ""type"": ""Sequence""}]"
The membranous portion of the diaphragm is populated by a migratory population of muscle precursor cells, much like the limbs [ 19, 20].	"muscle precursor cells	82	104	Cell"	"[{""token"": ""muscle precursor cells"", ""start_span"": 82, ""end_span"": 104, ""type"": ""Cell""}]"
Fog2 is expressed diffusely in the early amuscular diaphragm at E11. 5 as well as in the later muscularized diaphragm ( see Figure 3C and 3D).	"Fog2	0	4	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
To assess the likelihood that the mutation was causal for the developmental phenotype, we examined both parents.	"mutation	34	42	Sequence"	"[{""token"": ""mutation"", ""start_span"": 34, ""end_span"": 42, ""type"": ""Sequence""}]"
Numerous chromosome abnormalities have been found in association with congenital diaphragm abnormalities [ 12, 35].	"chromosome	9	19	GO_ontology"	"[{""token"": ""chromosome"", ""start_span"": 9, ""end_span"": 19, ""type"": ""GO_ontology""}]"
It is unclear how the Fog2 diaphragmatic defect relates to the more common Bochdalek CDH, as the pathogenic mechanisms for both are largely unknown.	"Fog2	22	26	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Gene_or_geneproduct""}]"
Muscle precursors destined to populate the diaphragm migrate from the lateral dermomyotome of cervical somites.	"Muscle precursors	0	17	Cell"	"[{""token"": ""Muscle precursors"", ""start_span"": 0, ""end_span"": 17, ""type"": ""Cell""}]"
Muscle precursors reach the PPF by E11, where they proliferate, differentiate, and then migrate toward the dorsolateral costal, sternal costal, and crural regions of the developing diaphragm.	"Muscle precursors	0	17	Cell"	"[{""token"": ""Muscle precursors"", ""start_span"": 0, ""end_span"": 17, ""type"": ""Cell""}]"
It occurs in a surgical model of CDH in which a hernia is physically created in an in utero lamb [ 47, 48].	"lamb	92	96	Organism"	"[{""token"": ""lamb"", ""start_span"": 92, ""end_span"": 96, ""type"": ""Organism""}]"
The specific lobar defects prompted us to evaluate Fog2 expression at the time of early lobar budding.	"Fog2	51	55	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Gene_or_geneproduct""}]"
While Fog2 expression is diffuse in the pulmonary mesenchyme after lobar structure is well established ( E12. 5), it is more focally expressed in the mesenchyme surrounding the right middle lobe and accessory buds as these lobes form.	"Fog2	6	10	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 6, ""end_span"": 10, ""type"": ""Gene_or_geneproduct""}]"
This matches the phenotype of right middle lobe and accessory lobe loss, and suggests that Fog2 has a specific patterning role in establishment of these lobes.	"Fog2	91	95	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Gene_or_geneproduct""}]"
The lil mutation was identified as described in results.	"mutation	8	16	Sequence"	"[{""token"": ""mutation"", ""start_span"": 8, ""end_span"": 16, ""type"": ""Sequence""}]"
Developmental analysis of mice.	"mice	26	30	Organism"	"[{""token"": ""mice"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Organism""}]"
Lung explants were cultured at 37 degrees C in 95% air / 5% CO2 for up to 5 d.	"CO2	60	63	Chemical"	"[{""token"": ""CO2"", ""start_span"": 60, ""end_span"": 63, ""type"": ""Chemical""}]"
RNA was extracted by standard techniques from thoracic embryonic tissue.	"RNA	0	3	Sequence"	"[{""token"": ""RNA"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Sequence""}]"
Nuclei were counterstained with Hoescht 33258, and signal was imaged using fluorescent and darkfield microscopy.	"Nuclei	0	6	GO_ontology"	"[{""token"": ""Nuclei"", ""start_span"": 0, ""end_span"": 6, ""type"": ""GO_ontology""}]"
Primer sequences used are listed in Table S2.	"Primer sequences	0	16	Sequence"	"[{""token"": ""Primer sequences"", ""start_span"": 0, ""end_span"": 16, ""type"": ""Sequence""}]"
DNA from the parents of one autopsy patient was extracted from fresh blood samples.	"DNA	0	3	Sequence"	"[{""token"": ""DNA"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Sequence""}]"
A second set of blood samples was sent to an outside CLIA - certified laboratory for DNA extraction, PCR, sequencing, and analysis.	"DNA	85	88	Sequence"	"[{""token"": ""DNA"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Sequence""}]"
SNP genotyping was done using Harvard Partners Center for Genetics and Genomics genotyping core facility ( Cambridge, Massachusetts, United States).	"SNP	0	3	Sequence"	"[{""token"": ""SNP"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Sequence""}]"
This work was funded by National Institute of Child Health and Human Development ( NIHCD) grant HD36404 ( DRB) and the Hearst Foundation ( KGA).	"Human	63	68	Organism"	"[{""token"": ""Human"", ""start_span"": 63, ""end_span"": 68, ""type"": ""Organism""}]"
D., for providing control DNA samples.	"DNA	26	29	Sequence"	"[{""token"": ""DNA"", ""start_span"": 26, ""end_span"": 29, ""type"": ""Sequence""}]"
Abnormal Pulmonary and Diaphragmatic Development in the lil Mouse	"Mouse	60	65	Organism"	"[{""token"": ""Mouse"", ""start_span"": 60, ""end_span"": 65, ""type"": ""Organism""}]"
( A) The mutant hypoplastic lung ( right) lacks the development of the accessory lobe and the anterior portion of the right middle lobe ( marked with arrows on the control sample on the left).	"mutant	9	15	Sequence"	"[{""token"": ""mutant"", ""start_span"": 9, ""end_span"": 15, ""type"": ""Sequence""}]"
( B) Whole diaphragms show a lack of normal muscularization in the posterolateral regions and the peripheral regions of the mutant diaphragm ( control on left and lil diaphragm on the right).	"mutant	124	130	Sequence"	"[{""token"": ""mutant"", ""start_span"": 124, ""end_span"": 130, ""type"": ""Sequence""}]"
Fog2 Is Expressed in the Developing Lung and Diaphragm	"Fog2	0	4	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
Fog2 is expressed in the diffuse pulmonary mesenchyme at E13. 5 ( A) ( arrow shows mesenchyme) and is restricted to the bronchial and vascular smooth muscle ( sm) at E16. 5 ( B).	"Fog2	0	4	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
Fog2 is expressed diffusely in the developing diaphragm ( Dia) both prior to ( E11. 5) ( C) and after muscularization ( E13. 5) ( D).	"Fog2	0	4	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
Fog2 Is Necessary for Primary Lung Development	"Fog2	0	4	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
Fog2 null lungs removed prior to diaphragmatic muscularization and grown in vitro show no accessory lobe development.	"Fog2	0	4	Gene_or_geneproduct"	"[{""token"": ""Fog2"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_geneproduct""}]"
KGA, SOV, SGT, BRP, JAE, JJG, and DRB contributed reagents / materials / analysis tools.	"reagents	50	58	Chemical"	"[{""token"": ""reagents"", ""start_span"": 50, ""end_span"": 58, ""type"": ""Chemical""}]"
Rod and cone photoreceptors subserve vision under dim and bright light conditions, respectively.	"Rod and cone photoreceptors	0	27	Cell"	"[{""token"": ""Rod and cone photoreceptors"", ""start_span"": 0, ""end_span"": 27, ""type"": ""Cell""}]"
It is possible that the abnormal features of these photoreceptors predispose them to undergo premature death.	"photoreceptors	51	65	Cell"	"[{""token"": ""photoreceptors"", ""start_span"": 51, ""end_span"": 65, ""type"": ""Cell""}]"
If this model accurately reflects the situation in human patients with ESCS, it may provide an explanation for the loss of vision seen in this disease.	"human	51	56	Organism"	"[{""token"": ""human"", ""start_span"": 51, ""end_span"": 56, ""type"": ""Organism""}]"
The initial reports of patients with ESCS attributed the unusual ERG to an abnormally functioning rod photoreceptor system with persistent activity under light adaptation [ 6 - 8].	"rod photoreceptor	98	115	Cell"	"[{""token"": ""rod photoreceptor"", ""start_span"": 98, ""end_span"": 115, ""type"": ""Cell""}]"
Nevertheless, the overall density of cones was only modestly increased in this patient ( approximately 2 - fold), suggesting that there might be additional factors that contribute to the very large, light - adapted ERG seen in this disease.	"cones	37	42	Cell"	"[{""token"": ""cones"", ""start_span"": 37, ""end_span"": 42, ""type"": ""Cell""}]"
In addition to the ERG findings, patients with ESCS have dysmorphic retinas with rosette formation in the outer nuclear layer ( ONL) where photoreceptor cell bodies reside, and a slow retinal degeneration that can ultimately lead to complete blindness [ 12 - 14].	"photoreceptor cell	139	157	Cell"	"[{""token"": ""photoreceptor cell"", ""start_span"": 139, ""end_span"": 157, ""type"": ""Cell""}]"
This mutant demonstrates slow retinal degeneration and abnormal lamination of the ONL with rosette formation [ 15, 16].	"mutant	5	11	Sequence"	"[{""token"": ""mutant"", ""start_span"": 5, ""end_span"": 11, ""type"": ""Sequence""}]"
Nr2e3 expression is first detectable by in situ hybridization around embryonic day 18 ( E18); it then peaks around P6 and subsequently decreases to adult levels by P21 ( unpublished data).	"Nr2e3	0	5	Gene_or_geneproduct"	"[{""token"": ""Nr2e3"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_geneproduct""}]"
In accordance with this time course of expression, almost no gene expression changes were found at P0, with progressively more changes at later timepoints ( Figure 1).	"gene	61	65	Sequence"	"[{""token"": ""gene"", ""start_span"": 61, ""end_span"": 65, ""type"": ""Sequence""}]"
Additional discussion of this gene and its unusual expression pattern will be presented below.	"gene	30	34	Sequence"	"[{""token"": ""gene"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Sequence""}]"
In situ hybridization was performed on an additional 45 up - regulated genes, confirming that 21 of them were derepressed.	"genes	71	76	Sequence"	"[{""token"": ""genes"", ""start_span"": 71, ""end_span"": 76, ""type"": ""Sequence""}]"
All of these genes show marked derepression in the rd7 retina.	"genes	13	18	Sequence"	"[{""token"": ""genes"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Sequence""}]"
This localization manifests in a section in situ hybridization as a dark band of staining just beyond the outer edge of the ONL immediately underlying the outer segment layer.	"outer segment	155	168	GO_ontology"	"[{""token"": ""outer segment"", ""start_span"": 155, ""end_span"": 168, ""type"": ""GO_ontology""}]"
The embryonic expression pattern of two of these genes is shown in Figure 5 ( the embryonic in situ hybridization for the third, G50, can be found in Table S1).	"genes	49	54	Sequence"	"[{""token"": ""genes"", ""start_span"": 49, ""end_span"": 54, ""type"": ""Sequence""}]"
Despite this fact, their overall number does not appear to be increased relative to wild - type.	"wild - type	84	95	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 84, ""end_span"": 95, ""type"": ""Sequence""}]"
Microarray analysis at P6 demonstrated five cDNA spots that were down - regulated in three out of three experiments.	"cDNA	44	48	Sequence"	"[{""token"": ""cDNA"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Sequence""}]"
Of these spots, three corresponded to rhodopsin ( Table S3).	"rhodopsin	38	47	Gene_or_geneproduct"	"[{""token"": ""rhodopsin"", ""start_span"": 38, ""end_span"": 47, ""type"": ""Gene_or_geneproduct""}]"
Changes in Retinal Transcription Factor and M u ller Glial Gene Expression in rd7	"Gene	59	63	Sequence"	"[{""token"": ""Gene"", ""start_span"": 59, ""end_span"": 63, ""type"": ""Sequence""}]"
This finding suggests that Nr2e3 is required for repression of its own transcription.	"Nr2e3	27	32	Gene_or_geneproduct"	"[{""token"": ""Nr2e3"", ""start_span"": 27, ""end_span"": 32, ""type"": ""Gene_or_geneproduct""}]"
One possible interpretation of this unusual expression pattern is that it represents an early reaction of M u ller glia to injury in this mutant.	"mutant	138	144	Sequence"	"[{""token"": ""mutant"", ""start_span"": 138, ""end_span"": 144, ""type"": ""Sequence""}]"
They have a smaller, more irregular mass of nuclear heterochromatin that is often broken up into multiple discrete clumps connected by thin threads.	"nuclear heterochromatin	44	67	GO_ontology"	"[{""token"": ""nuclear heterochromatin"", ""start_span"": 44, ""end_span"": 67, ""type"": ""GO_ontology""}]"
Since the change in rhodopsin levels identified by Peng et al. were relatively small ( an approximately 15% reduction), it is not surprising that such a difference was not detected by in situ hybridization.	"rhodopsin	20	29	Gene_or_geneproduct"	"[{""token"": ""rhodopsin"", ""start_span"": 20, ""end_span"": 29, ""type"": ""Gene_or_geneproduct""}]"
These two genes were also found to be up - regulated in rd7 in the present study ( see Figure 1; Table S1).	"genes	10	15	Sequence"	"[{""token"": ""genes"", ""start_span"": 10, ""end_span"": 15, ""type"": ""Sequence""}]"
Recent studies in a variety of experiment systems suggest that such a stochastic, all - or - none mechanism of gene activation is commonplace [ 38 - 44].	"gene	111	115	Sequence"	"[{""token"": ""gene"", ""start_span"": 111, ""end_span"": 115, ""type"": ""Sequence""}]"
Once this event takes place, it would initiate an irreversible program of differentiation toward S - cone fate, albeit at a relatively low frequency.	"cone	101	105	Cell"	"[{""token"": ""cone"", ""start_span"": 101, ""end_span"": 105, ""type"": ""Cell""}]"
Human patients with ESCS display three types of abnormality attributable to the retina: ( 1) an atypical ERG waveform that is preferentially sensitive to short - wavelength light, ( 2) slowly progressive retinal degeneration, and ( 3) abnormal retinal lamination with rosette formation [ 1, 12, 13].	"Human	0	5	Organism"	"[{""token"": ""Human"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Organism""}]"
It is possible that this degeneration is attributable to the abnormal function of the hybrid photoreceptor cell type characterized in the present study.	"photoreceptor cell	93	111	Cell"	"[{""token"": ""photoreceptor cell"", ""start_span"": 93, ""end_span"": 111, ""type"": ""Cell""}]"
Rosette formation and abnormally wavy epithelia are common sequelae of defects in pathways controlling cell polarity [ 46, 47].	"cell	103	107	Cell"	"[{""token"": ""cell"", ""start_span"": 103, ""end_span"": 107, ""type"": ""Cell""}]"
All control mice were C57BL / 6.	"mice	12	16	Organism"	"[{""token"": ""mice"", ""start_span"": 12, ""end_span"": 16, ""type"": ""Organism""}]"
All microarray experiments were performed in triplicate, in each case with separate RNA preparations.	"RNA	84	87	Sequence"	"[{""token"": ""RNA"", ""start_span"": 84, ""end_span"": 87, ""type"": ""Sequence""}]"
Microarray experiments with cDNAs were performed with the P0, P6, and P14 derived samples.	"cDNAs	28	33	Sequence"	"[{""token"": ""cDNAs"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Sequence""}]"
The complete raw cDNA microarray data set are available in Tables S6 - S14.	"cDNA	17	21	Sequence"	"[{""token"": ""cDNA"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Sequence""}]"
All spots which were present in the top 10% most up - or down - regulated genes in two out of three or three out of three experiments were recorded ( the latter are listed in Table S3).	"genes	74	79	Sequence"	"[{""token"": ""genes"", ""start_span"": 74, ""end_span"": 79, ""type"": ""Sequence""}]"
Pairwise comparisons were made between individual mutant microarray results and controls.	"mutant	50	56	Sequence"	"[{""token"": ""mutant"", ""start_span"": 50, ""end_span"": 56, ""type"": ""Sequence""}]"
Those genes that were up - or down - regulated in three out of three experiments were recorded ( Tables S4 and S5).	"genes	6	11	Sequence"	"[{""token"": ""genes"", ""start_span"": 6, ""end_span"": 11, ""type"": ""Sequence""}]"
Twenty fields were quantitated in this manner at 200 x magnification for both rd7 and wild - type retinas.	"wild - type	86	97	Sequence"	"[{""token"": ""wild - type"", ""start_span"": 86, ""end_span"": 97, ""type"": ""Sequence""}]"
For antibody staining, cryosections were prepared and stained as described previously [ 63].	"antibody	4	12	GO_ontology"	"[{""token"": ""antibody"", ""start_span"": 4, ""end_span"": 12, ""type"": ""GO_ontology""}]"
Electron microscopy.	"Electron	0	8	Chemical"	"[{""token"": ""Electron"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Chemical""}]"
The retinas ( and attached retinal pigment epithelium) were carefully dissected away from the sclera, which was discarded.	"pigment	35	42	Chemical"	"[{""token"": ""pigment"", ""start_span"": 35, ""end_span"": 42, ""type"": ""Chemical""}]"
Next, the retinas were washed three times over one hour with propylene oxide and then embedded in TAAB 812 Resin ( Marivac, Quebec, Canada) for 1 - 2 d in a 60 degrees C oven.	"propylene oxide	61	76	Chemical"	"[{""token"": ""propylene oxide"", ""start_span"": 61, ""end_span"": 76, ""type"": ""Chemical""}]"
Semi - thin sections were cut at a thickness of 0. 5 mu m and stained with 1% toluidine blue in 1% sodium borate buffer.	"sodium borate	99	112	Chemical"	"[{""token"": ""sodium borate"", ""start_span"": 99, ""end_span"": 112, ""type"": ""Chemical""}]"
Wild - type images were taken in comparable regions.	"Wild - type	0	11	Sequence"	"[{""token"": ""Wild - type"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Sequence""}]"
All sections were cut in a plane perpendicular to the plane of the photoreceptor layer.	"photoreceptor	67	80	Cell"	"[{""token"": ""photoreceptor"", ""start_span"": 67, ""end_span"": 80, ""type"": ""Cell""}]"
They were then visualized on a Jeol 1200EX electron microscope ( Jeol, Tokyo, Japan).	"electron	43	51	Chemical"	"[{""token"": ""electron"", ""start_span"": 43, ""end_span"": 51, ""type"": ""Chemical""}]"
First, ten fields within the ONL were chosen at random at 1, 000 x magnification and then photographed at 4, 000 x magnification for each of the two genotypes.	"genotypes	149	158	Sequence"	"[{""token"": ""genotypes"", ""start_span"": 149, ""end_span"": 158, ""type"": ""Sequence""}]"
Such images typically contained 35 - 45 cell bodies.	"cell bodies	40	51	GO_ontology"	"[{""token"": ""cell bodies"", ""start_span"": 40, ""end_span"": 51, ""type"": ""GO_ontology""}]"
These tracings were scanned along with the size bar from the electron micrographs, and the areas of the resulting digital images were quantitated using Scion Image software ( NIH Image, http: / / rsb. info. nih. gov / nih - image).	"electron	61	69	Chemical"	"[{""token"": ""electron"", ""start_span"": 61, ""end_span"": 69, ""type"": ""Chemical""}]"
Figures S1 - S7 show the in situ hybridization images of all genes discussed in the paper ( see Tables S1 and S2).	"genes	61	66	Sequence"	"[{""token"": ""genes"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Sequence""}]"
In Situ Hybridization Images for Genes 1 - 11 in Table S2	"Genes	33	38	Sequence"	"[{""token"": ""Genes"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Sequence""}]"
In Situ Hybridization Images for Genes 12 - 22 in Table S2	"Genes	33	38	Sequence"	"[{""token"": ""Genes"", ""start_span"": 33, ""end_span"": 38, ""type"": ""Sequence""}]"
""" Figure Number "" indicates which figure ( Figure S1 - S5) contains the in situ hybridization images corresponding to the gene in question."	"gene	122	126	Sequence"	"[{""token"": ""gene"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Sequence""}]"
""" Figure Number "" indicates which figure ( Figure S6 or S7) contains the in situ hybridization images corresponding to the gene in question."	"gene	123	127	Sequence"	"[{""token"": ""gene"", ""start_span"": 123, ""end_span"": 127, ""type"": ""Sequence""}]"
Summary of cDNA Microarray Results from P0, P6, and P14	"cDNA	11	15	Sequence"	"[{""token"": ""cDNA"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Sequence""}]"
Only genes that were found to be up - regulated in three out of three microarray experiments ( as described in Materials and Methods) are listed.	"genes	5	10	Sequence"	"[{""token"": ""genes"", ""start_span"": 5, ""end_span"": 10, ""type"": ""Sequence""}]"
Only genes that were found to be down - regulated in three out of three microarray experiments ( as described in Materials and Methods) are listed.	"genes	5	10	Sequence"	"[{""token"": ""genes"", ""start_span"": 5, ""end_span"": 10, ""type"": ""Sequence""}]"
Raw Affymetrix Microarray Data for rd7 versus Wild - Type Comparison at P21 ( I)	"Wild - Type	46	57	Sequence"	"[{""token"": ""Wild - Type"", ""start_span"": 46, ""end_span"": 57, ""type"": ""Sequence""}]"
Raw Affymetrix Microarray Data for rd7 versus Wild - Type Comparison at P21 ( II)	"Wild - Type	46	57	Sequence"	"[{""token"": ""Wild - Type"", ""start_span"": 46, ""end_span"": 57, ""type"": ""Sequence""}]"
Raw Affymetrix Microarray Data for rd7 versus Wild - Type Comparison at P21 ( III)	"Wild - Type	46	57	Sequence"	"[{""token"": ""Wild - Type"", ""start_span"": 46, ""end_span"": 57, ""type"": ""Sequence""}]"
Reese for help with electron microscopy and to A.	"electron	20	28	Chemical"	"[{""token"": ""electron"", ""start_span"": 20, ""end_span"": 28, ""type"": ""Chemical""}]"
Trimarchi for access to unpublished data and reagents.	"reagents	45	53	Chemical"	"[{""token"": ""reagents"", ""start_span"": 45, ""end_span"": 53, ""type"": ""Chemical""}]"
DAPI - 6 - diamidino - 2 - phenylindole	"phenylindole	27	39	Chemical"	"[{""token"": ""phenylindole"", ""start_span"": 27, ""end_span"": 39, ""type"": ""Chemical""}]"
ESCS - enhanced S - cone syndrome	"cone	20	24	Cell"	"[{""token"": ""cone"", ""start_span"": 20, ""end_span"": 24, ""type"": ""Cell""}]"
GCL - ganglion cell layer	"cell	15	19	Cell"	"[{""token"": ""cell"", ""start_span"": 15, ""end_span"": 19, ""type"": ""Cell""}]"
"The column "" ID "" contains identifiers used in the present paper to refer to specific genes."	"genes	86	91	Sequence"	"[{""token"": ""genes"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Sequence""}]"
The region of the gene to which it corresponds is indicated in Table S1.	"region of the gene	4	22	Sequence"	"[{""token"": ""region of the gene"", ""start_span"": 4, ""end_span"": 22, ""type"": ""Sequence""}]"
"Genes designated "" unclassified "" represent patterns of derepression that were difficult to classify as either type I or type II ( see main text for more details)."	"Genes	0	5	Sequence"	"[{""token"": ""Genes"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Sequence""}]"
In the case of genes for which no signal was obtained on in situ hybridization in the present study, the specified expression pattern derives from reports in the literature.	"genes	15	20	Sequence"	"[{""token"": ""genes"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Sequence""}]"
