The Cdc6 protein is ubiquitinated in vivo for proteolysis in Saccharomyces cerevisiae.	"Cdc6	4	8	Gene_or_gene_product"	"[{""token"": ""Cdc6"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
In humans, loss of LRP5 function causes osteoporosis - pseudoglioma syndrome, which is characterized by congenital blindness and extremely severe childhood - onset osteoporosis ( lumbar spine Z - score often < - 4) with fractures.	"LRP5	19	23	Gene_or_gene_product"	"[{""token"": ""LRP5"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
Furthermore, LRP5 may contribute to mediate mechanical loads within bone tissue.	"LRP5	13	17	Gene_or_gene_product"	"[{""token"": ""LRP5"", ""start_span"": 13, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
Selection of novel mediators of E2F1 - induced apoptosis through retroviral expression of an antisense cDNA library.	"E2F1	32	36	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 32, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
The approach was based on random inactivation of genes after retroviral transfer of an antisense cDNA library enriched of E2F1 - induced genes, followed by the selection of Saos - 2ERE2F1 cells that survive in the presence of the apoptotic stimulus.	"E2F1	122	126	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Gene_or_gene_product""}]"
We identified 13 novel E2F1 target genes encoding proteins of known cellular function, including apoptosis and RNA binding.	"E2F1	23	27	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 23, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
Moreover, inactivation of the target genes resulted in a clear increase of cell viability ( > 80%) in response to E2F1 activation compared with controls ( approximately 30%).	"E2F1	114	118	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 114, ""end_span"": 118, ""type"": ""Gene_or_gene_product""}]"
Our data provide new insight in the regulation of E2F1 - induced apoptosis.	"E2F1	50	54	Gene_or_gene_product"	"[{""token"": ""E2F1"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Gene_or_gene_product""}]"
Aberrant beta - catenin signaling in tuberous sclerosis.	"beta - catenin	9	23	Gene_or_gene_product"	"[{""token"": ""beta - catenin"", ""start_span"": 9, ""end_span"": 23, ""type"": ""Gene_or_gene_product""}]"
GSK3 activity played a role in regulating the assembly / stability of the degradation complex.	"GSK3	0	4	Gene_or_gene_product"	"[{""token"": ""GSK3"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
A large number of proteins have been identified as targets of RhoA, but their specific roles in these processes are not clear.	"RhoA	62	66	Gene_or_gene_product"	"[{""token"": ""RhoA"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
To better understand the role of cell cycle proteins in DNA - damage induced neuronal cell death, we examined various cell cycle proteins during camptothecin - induced death of human neuroblastoma cells.	"camptothecin	145	157	Chemical"	"[{""token"": ""camptothecin"", ""start_span"": 145, ""end_span"": 157, ""type"": ""Chemical""}]"
ARHI is a maternally imprinted tumor suppressor gene whose expression is markedly downregulated in breast cancer.	"ARHI	0	4	Gene_or_gene_product"	"[{""token"": ""ARHI"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
An ARHI promoter segment that spanned bases - 420 to + 58 ( designated the P2 region) exhibits significantly higher promoter activity in normal cells than in cancer cells.	"ARHI	3	7	Gene_or_gene_product"	"[{""token"": ""ARHI"", ""start_span"": 3, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
To better understand the molecular mechanisms contributing to this differential transcriptional activity, we sought to identify transcription factors that bind to the P2 region of the ARHI promoter and regulate its activity.	"ARHI	184	188	Gene_or_gene_product"	"[{""token"": ""ARHI"", ""start_span"": 184, ""end_span"": 188, ""type"": ""Gene_or_gene_product""}]"
Sequence analysis and oligonucleotide competition in electrophoretic mobility shift assays identified an A2 fragment containing an E2F - binding site.	"E2F	131	134	Gene_or_gene_product"	"[{""token"": ""E2F"", ""start_span"": 131, ""end_span"": 134, ""type"": ""Gene_or_gene_product""}]"
In yeast, glucose depletion elicits a quick response in the transcription of stress - related genes.	"glucose	10	17	Chemical"	"[{""token"": ""glucose"", ""start_span"": 10, ""end_span"": 17, ""type"": ""Chemical""}]"
Consequently, in snf1 mutants, rephosphorylation of the NLS happens to be much slower during prolonged starvation.	"snf1	17	21	Gene_or_gene_product"	"[{""token"": ""snf1"", ""start_span"": 17, ""end_span"": 21, ""type"": ""Gene_or_gene_product""}]"
In response to nutrients, energy sufficiency, hormones, and mitogenic agents, S6K1 phosphorylates several targets linked to translation.	"S6K1	78	82	Gene_or_gene_product"	"[{""token"": ""S6K1"", ""start_span"": 78, ""end_span"": 82, ""type"": ""Gene_or_gene_product""}]"
However, the molecular mechanisms whereby S6K1 is activated, encounters substrate, and contributes to translation initiation are poorly understood.	"S6K1	42	46	Gene_or_gene_product"	"[{""token"": ""S6K1"", ""start_span"": 42, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
Thus, the eIF3 preinitiation complex acts as a scaffold to coordinate a dynamic sequence of events in response to stimuli that promote efficient protein synthesis.	"eIF3 preinitiation complex	10	36	Complex"	"[{""token"": ""eIF3 preinitiation complex"", ""start_span"": 10, ""end_span"": 36, ""type"": ""Complex""}]"
Understanding the interplay between these processes should provide insight into the events underlying meiotic chromosome mis - segregation, the leading cause of miscarriages and mental retardation in humans.	"chromosome	110	120	Cellular_component"	"[{""token"": ""chromosome"", ""start_span"": 110, ""end_span"": 120, ""type"": ""Cellular_component""}]"
Puralpha is a ubiquitously expressed multifunctional nucleic acid - binding protein that is involved in many cellular processes including transcriptional regulation, the cell cycle, oncogenic transformation, and post - natal brain development.	"Puralpha	0	8	Gene_or_gene_product"	"[{""token"": ""Puralpha"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Deletion mutants of the E2F - 1 protein showed that the region between amino acid residues 88 - 241 is important for this activity.	"E2F - 1	24	31	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 24, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
Deletion of a single allele of the Dkk1 gene leads to an increase in bone formation and bone mass.	"Dkk1	35	39	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
Wnt antagonists are thus expected to negatively regulation bone formation.	"Wnt	0	3	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
MATERIALS AND METHODS: In this study, we investigated specifically the role of Dkk1 in bone in vitro and in vivo.	"Dkk1	79	83	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Gene_or_gene_product""}]"
Using rat primary calvaria cells, we studied the effect of retroviral expression of Dkk1 on osteoblast differentiation.	"Dkk1	84	88	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}]"
In addition, the effect of Dkk1 osteoblast was studied in MC3T3 - E1 cells by means of recombinant protein.	"Dkk1	27	31	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
Dkk1 expression also increased adipocyte differentiation in these cell cultures.	"Dkk1	0	4	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
Structural, dynamic, and cellular analysis of bone remodeling in Dkk1 ( + / -) mice showed an increase in all bone formation parameters, with no change in bone resorption, leading to a marked increase in bone mass.	"Dkk1	65	69	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: We conclude that Dkk1 protein is a potent negative regulator of osteoblasts in vitro and in vivo.	"Dkk1	30	34	Gene_or_gene_product"	"[{""token"": ""Dkk1"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
The first wave of NF - kappaB activation occurred at 10 - 60 min of treatment, whereas the later wave occurred at 2 - 12 h of treatment.	"NF - kappaB	18	29	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 18, ""end_span"": 29, ""type"": ""Complex""}]"
How Gin4 kinase activity is regulated is not known.	"Gin4	4	8	Gene_or_gene_product"	"[{""token"": ""Gin4"", ""start_span"": 4, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Polo kinase controls cell - cycle - dependent transcription by targeting a coactivator protein.	"Polo kinase	0	11	Gene_or_gene_product"	"[{""token"": ""Polo kinase"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Gene_or_gene_product""}]"
Polo kinases have crucial conserved functions in controlling the eukaryotic cell cycle through orchestrating several events during mitosis.	"Polo kinases	0	12	Gene_or_gene_product"	"[{""token"": ""Polo kinases"", ""start_span"": 0, ""end_span"": 12, ""type"": ""Gene_or_gene_product""}]"
Thus, polo kinase is required for the production of key mitotic regulators, in addition to previously defined roles in controlling other mitotic events.	"polo kinase	6	17	Gene_or_gene_product"	"[{""token"": ""polo kinase"", ""start_span"": 6, ""end_span"": 17, ""type"": ""Gene_or_gene_product""}]"
The checkpoint clamp activates Mec1 kinase during initiation of the DNA damage checkpoint.	"Mec1	31	35	Gene_or_gene_product"	"[{""token"": ""Mec1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Gene_or_gene_product""}]"
The checkpoint clamp greatly activates the kinase activity of Mec1, but only if the clamp is appropriately loaded upon partial duplex DNA.	"Mec1	62	66	Gene_or_gene_product"	"[{""token"": ""Mec1"", ""start_span"": 62, ""end_span"": 66, ""type"": ""Gene_or_gene_product""}]"
The kinase inhibitor p27Kip1 regulates the G1 cell cycle phase.	"p27Kip1	21	28	Gene_or_gene_product"	"[{""token"": ""p27Kip1"", ""start_span"": 21, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
These data provide a new rationale for Src inhibitors in cancer therapy.	"Src	39	42	Gene_or_gene_product"	"[{""token"": ""Src"", ""start_span"": 39, ""end_span"": 42, ""type"": ""Gene_or_gene_product""}]"
Nutrient - responsive mTOR signalling grows on Sterile ground.	"mTOR	22	26	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
Finally, knockdown of MAP4K3 levels causes a decrease in cell size.	"MAP4K3	22	28	Gene_or_gene_product"	"[{""token"": ""MAP4K3"", ""start_span"": 22, ""end_span"": 28, ""type"": ""Gene_or_gene_product""}]"
Given that mTOR activity is frequently deregulated in cancer, there is much interest in new strategies for inhibition of this pathway.	"mTOR	11	15	Gene_or_gene_product"	"[{""token"": ""mTOR"", ""start_span"": 11, ""end_span"": 15, ""type"": ""Gene_or_gene_product""}]"
We identified and characterized the sites of mitotic Mnd2 phosphorylation during the cell cycle.	"Mnd2	53	57	Gene_or_gene_product"	"[{""token"": ""Mnd2"", ""start_span"": 53, ""end_span"": 57, ""type"": ""Gene_or_gene_product""}]"
E2F - 1 controls multiple cellular activities through transcriptional regulation of its target genes.	"E2F - 1	0	7	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
As a mediator of cell death, E2F - 1 can eliminate latent neoplastic cells through apoptosis.	"E2F - 1	29	36	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 29, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
However, the mechanism by which E2F - 1 mediates cancer cell killing is largely unknown.	"E2F - 1	32	39	Gene_or_gene_product"	"[{""token"": ""E2F - 1"", ""start_span"": 32, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
NGF is recognized for its role in neuronal differentiation and maintenance.	"NGF	0	3	Gene_or_gene_product"	"[{""token"": ""NGF"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
Kinetochore - passenger complexes in metazoans have been proposed to coordinate the segregation of chromosomes in anaphase with the induction of cytokinesis.	"chromosomes	99	110	Cellular_component"	"[{""token"": ""chromosomes"", ""start_span"": 99, ""end_span"": 110, ""type"": ""Cellular_component""}]"
Cells lacking Rtt109 are susceptible to perturbations in DNA replication.	"Rtt109	14	20	Gene_or_gene_product"	"[{""token"": ""Rtt109"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Gene_or_gene_product""}]"
TNFalpha has recently emerged as a regulator linking inflammation to cancer pathogenesis, but the detailed cellular and molecular mechanisms underlying this link remain to be elucidated.	"TNFalpha	0	8	Gene_or_gene_product"	"[{""token"": ""TNFalpha"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Forkhead proteins control the outcome of transcription factor binding by antiactivation.	"Forkhead	0	8	Gene_or_gene_product"	"[{""token"": ""Forkhead"", ""start_span"": 0, ""end_span"": 8, ""type"": ""Gene_or_gene_product""}]"
Transcriptional complexes that contain peroxisome - proliferator - activated receptor coactivator ( PGC) - 1alpha control mitochondrial oxidative function to maintain energy homeostasis in response to nutrient and hormonal signals.	"mitochondrial	122	135	Cellular_component"	"[{""token"": ""mitochondrial"", ""start_span"": 122, ""end_span"": 135, ""type"": ""Cellular_component""}]"
During mammalian development, krm1 mRNA expression is low in the early stages, but gradually and continuously increases with developmental progression and differentiation.	"krm1	30	34	Gene_or_gene_product"	"[{""token"": ""krm1"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Gene_or_gene_product""}]"
In tumour cells, a deficit of Krm may increase the susceptibility to tumourigenic transformation.	"Krm	30	33	Gene_or_gene_product"	"[{""token"": ""Krm"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
On the other hand, recombinant TRAIL alone did not affect cell cycle progression but induced a rapid increase of apoptosis.	"TRAIL	31	36	Gene_or_gene_product"	"[{""token"": ""TRAIL"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
Of note, all agonists upregulated TRAIL - R2 expression in SKW6. 4 cells both at the mRNA and protein levels.	"TRAIL - R2	34	44	Gene_or_gene_product"	"[{""token"": ""TRAIL - R2"", ""start_span"": 34, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}]"
Hypoxia induces rapid and dramatic changes in cellular metabolism, in part through inhibition of target of rapamycin ( TOR) kinase complex 1 ( TORC1) activity.	"TORC1	143	148	Complex"	"[{""token"": ""TORC1"", ""start_span"": 143, ""end_span"": 148, ""type"": ""Complex""}]"
PURPOSE: Metastatic melanoma is largely unresponsive to DNA - damaging chemotherapy agents, although WTp53 is frequently detected.	"WTp53	101	106	Gene_or_gene_product"	"[{""token"": ""WTp53"", ""start_span"": 101, ""end_span"": 106, ""type"": ""Gene_or_gene_product""}]"
Analysis by two - dimensional gel electrophoresis revealed that p53beta was expressed at the protein level in melanoma cells.	"p53beta	64	71	Gene_or_gene_product"	"[{""token"": ""p53beta"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
The potential for PTEN to regulate the synthesis of RNA polymerase ( Pol) III transcription products, including tRNAs and 5S rRNAs, was evaluated.	"PTEN	18	22	Gene_or_gene_product"	"[{""token"": ""PTEN"", ""start_span"": 18, ""end_span"": 22, ""type"": ""Gene_or_gene_product""}]"
Citral is a major compound of lemongrass ( Cymbopogon citratus L.) that has many pharmacological activities such as anti - fungal and anti - bacterial effects.	"Citral	0	6	Chemical"	"[{""token"": ""Citral"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Chemical""}]"
Expression analysis of PML was carried out by immunohistochemical staining and correlated with disease - free survival ( DFS) and overall survival ( OS).	"PML	23	26	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Gene_or_gene_product""}]"
RESULTS: In 24 tumor specimens ( 38. 7%), PML was classified as absent, in 16 ( 25. 8%) as focally expressed and in 22 ( 35. 5%) as diffusely expressed.	"PML	42	45	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
By univariate analysis, DFS was significantly influenced by pathological T stage ( P = 0. 03), lymph nodal involvement ( P = 0. 002), and PML expression ( P = 0. 001).	"PML	138	141	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 138, ""end_span"": 141, ""type"": ""Gene_or_gene_product""}]"
DFS in patients without PML expression was 28. 0 months versus 45. 1 and 75. 5 for patients with focal and diffuse expression, respectively.	"PML	24	27	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 24, ""end_span"": 27, ""type"": ""Gene_or_gene_product""}]"
OS in the group of patients without PML expression, with focal expression, and with diffuse expression was 40, 48, and 77 months, respectively ( P = 0. 002).	"PML	36	39	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Gene_or_gene_product""}]"
By a multivariate analysis, PML expression was the strongest prognostic factor for DFS ( P = 0. 003) and the only statically significant prognostic factor for OS ( P = 0. 009).	"PML	28	31	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 28, ""end_span"": 31, ""type"": ""Gene_or_gene_product""}]"
CONCLUSIONS: Our preliminary data suggest PML as a novel prognostic tool for ampullary cancer patients.	"PML	42	45	Gene_or_gene_product"	"[{""token"": ""PML"", ""start_span"": 42, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
Signal transduction via the Frizzled family of seven - transmembrane receptors controls important developmental processes.	"Frizzled	28	36	Gene_or_gene_product"	"[{""token"": ""Frizzled"", ""start_span"": 28, ""end_span"": 36, ""type"": ""Gene_or_gene_product""}]"
Aberrant signaling caused by altered Frizzled receptor activity or by mutations in downstream signaling components has been implicated in several adult pathologies.	"Frizzled	37	45	Gene_or_gene_product"	"[{""token"": ""Frizzled"", ""start_span"": 37, ""end_span"": 45, ""type"": ""Gene_or_gene_product""}]"
Our report underlines the importance of using cell lines stably overexpressing wild - type Frizzled receptors and the use of purified ligands when studying receptor pharmacology.	"Frizzled	91	99	Gene_or_gene_product"	"[{""token"": ""Frizzled"", ""start_span"": 91, ""end_span"": 99, ""type"": ""Gene_or_gene_product""}]"
Our results suggest that there is receptor redundancy with regard to Wnt - 3a reception.	"Wnt - 3a	69	77	Gene_or_gene_product"	"[{""token"": ""Wnt - 3a"", ""start_span"": 69, ""end_span"": 77, ""type"": ""Gene_or_gene_product""}]"
Breast cancer is characterized, among others, by the concurrence of lipophilic xenobiotica such as 2, 3, 7, 8 - tetrachlorodibenzo - para - dioxin ( TCDD) with hypoxic tissue conditions.	"TCDD	149	153	Chemical"	"[{""token"": ""TCDD"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Chemical""}]"
In the present study, the interplay of the three transcription factors was studied and correlated with the migration of MCF - 7 cells in response to TCDD and / or hypoxia.	"TCDD	149	153	Chemical"	"[{""token"": ""TCDD"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Chemical""}]"
ATX is known to stimulate migration of tumor cells.	"ATX	0	3	Gene_or_gene_product"	"[{""token"": ""ATX"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Gene_or_gene_product""}]"
This effect correlated with increased migration observed after TCDD treatment.	"TCDD	63	67	Chemical"	"[{""token"": ""TCDD"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Chemical""}]"
Hypoxia did not promote migration of MCF - 7 cells, suggesting that ATX down - stream signaling was inhibited by hypoxia.	"ATX	68	71	Gene_or_gene_product"	"[{""token"": ""ATX"", ""start_span"": 68, ""end_span"": 71, ""type"": ""Gene_or_gene_product""}]"
The adaptor protein MyD88 is essential for E coli - induced preterm delivery in mice.	"MyD88	20	25	Gene_or_gene_product"	"[{""token"": ""MyD88"", ""start_span"": 20, ""end_span"": 25, ""type"": ""Gene_or_gene_product""}]"
Small molecule - mediated disruption of Wnt - dependent signaling in tissue regeneration and cancer.	"Wnt	40	43	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}]"
With these small molecules, we establish a chemical genetic approach for studying Wnt pathway responses and stem cell function in adult tissue.	"Wnt	82	85	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Gene_or_gene_product""}]"
The signal transduction mechanisms shown here to be chemically tractable additionally contribute to Wnt - independent signal transduction pathways and thus could be broadly exploited for chemical genetics and therapeutic goals.	"Wnt	100	103	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 100, ""end_span"": 103, ""type"": ""Gene_or_gene_product""}]"
The Wnt family of secreted ligands plays critical roles during embryonic development and tumorigenesis.	"Wnt	4	7	Gene_or_gene_product"	"[{""token"": ""Wnt"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
SDF - 1 is up - regulated in the ischemic penumbra following stroke and has been known to be associated with the homing of bone marrow cells to injury.	"SDF - 1	0	7	Gene_or_gene_product"	"[{""token"": ""SDF - 1"", ""start_span"": 0, ""end_span"": 7, ""type"": ""Gene_or_gene_product""}]"
Among these properties is the ability to regulate activity of the p53 tumor suppressor protein.	"p53	66	69	Gene_or_gene_product"	"[{""token"": ""p53"", ""start_span"": 66, ""end_span"": 69, ""type"": ""Gene_or_gene_product""}]"
[ CCR4, HTLV - 1 infection, and ATL oncogenesis].	"CCR4	2	6	Gene_or_gene_product"	"[{""token"": ""CCR4"", ""start_span"": 2, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
Adult T - cell leukemia ( ATL) is a malignancy of mature CD4 + T cells that is etiologically associated with the infection of human T - cell leukemia virus type 1 ( HTLV - 1), an exogenous human retrovirus.	"CD4	57	60	Gene_or_gene_product"	"[{""token"": ""CD4"", ""start_span"": 57, ""end_span"": 60, ""type"": ""Gene_or_gene_product""}]"
Previously, we have shown that leukemic cells of most ATL patients express CCR4, a chemokine receptor known to be selectively expressed by T cell subsets such as Th2 cells, skin - homing memory / effector T cells, and regulatory T cells.	"CCR4	75	79	Gene_or_gene_product"	"[{""token"": ""CCR4"", ""start_span"": 75, ""end_span"": 79, ""type"": ""Gene_or_gene_product""}]"
Therefore, the expression of CCR4 suggests that ATL cells are mostly derived from one of these T cell subsets.	"CCR4	29	33	Gene_or_gene_product"	"[{""token"": ""CCR4"", ""start_span"": 29, ""end_span"": 33, ""type"": ""Gene_or_gene_product""}]"
Notch signaling plays a critical role in regulating cell proliferation, differentiation, and apoptosis.	"Notch	0	5	Gene_or_gene_product"	"[{""token"": ""Notch"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Gene_or_gene_product""}]"
Our previous study showed that overexpression of Notch1 could inhibit human hepatocellular carcinoma ( HCC) cell growth by arresting the cell cycle and inducing apoptosis.	"Notch1	49	55	Gene_or_gene_product"	"[{""token"": ""Notch1"", ""start_span"": 49, ""end_span"": 55, ""type"": ""Gene_or_gene_product""}]"
Therefore, therapeutic NF - kappaB inhibitors should be thoroughly studied before their clinical use in treating rheumatoid arthritis, as undesirable genes may be upregulated through unknown mechanisms, possibly resulting in worse symptoms.	"NF - kappaB	23	34	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 23, ""end_span"": 34, ""type"": ""Complex""}]"
PUMA suppresses intestinal tumorigenesis in mice.	"PUMA	0	4	Gene_or_gene_product"	"[{""token"": ""PUMA"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
In this study, we investigated the role of PUMA in intestinal tumorigenesis using two animal models.	"PUMA	43	47	Gene_or_gene_product"	"[{""token"": ""PUMA"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Gene_or_gene_product""}]"
These results show an essential role of PUMA - mediated apoptosis in suppressing intestinal tumorigenesis in mice.	"PUMA	40	44	Gene_or_gene_product"	"[{""token"": ""PUMA"", ""start_span"": 40, ""end_span"": 44, ""type"": ""Gene_or_gene_product""}]"
Among the natural sequence variants of TP53, rs1042522 ( R72P) modifies the risk for solid tumors.	"TP53	39	43	Gene_or_gene_product"	"[{""token"": ""TP53"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Gene_or_gene_product""}]"
TP53 R72P showed a risk association with gene dosage effect ( P = 0. 002) resulting in a strong association of homozygous genotype ( OR = 2. 9, 95% CI = 1. 5 - 5. 6) and no sex effect.	"TP53	0	4	Gene_or_gene_product"	"[{""token"": ""TP53"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Gene_or_gene_product""}]"
The HLA complex genes did not show any statistically significant interaction with R72P.	"HLA	4	7	Complex"	"[{""token"": ""HLA"", ""start_span"": 4, ""end_span"": 7, ""type"": ""Complex""}]"
The transcription factor c - Myc is a cellular oncoprotein generally upregulated in most of human cancers.	"c - Myc	25	32	Gene_or_gene_product"	"[{""token"": ""c - Myc"", ""start_span"": 25, ""end_span"": 32, ""type"": ""Gene_or_gene_product""}]"
Ang II is originally found as one of potent vasoconstrictors, but is now attracted attention as an essential mediator of many cardiovascular problems, including endothelial dysfunction, arrhythmia and structural remodeling of cardiovascular systems.	"Ang II	0	6	Gene_or_gene_product"	"[{""token"": ""Ang II"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Gene_or_gene_product""}]"
NF - kappaB is a family of important transcription factors that modulate immunity, development, inflammation, and cancer.	"NF - kappaB	0	11	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Complex""}]"
The biological activity of NF - kappaB is subjected to various spatial and temporal regulations.	"NF - kappaB	27	38	Complex"	"[{""token"": ""NF - kappaB"", ""start_span"": 27, ""end_span"": 38, ""type"": ""Complex""}]"
The activator protein 1 binding motifs within the human cytomegalovirus major immediate - early enhancer are functionally redundant and act in a cooperative manner with the NF - { kappa} B sites during acute infection.	"activator protein 1	4	23	Complex"	"[{""token"": ""activator protein 1"", ""start_span"": 4, ""end_span"": 23, ""type"": ""Complex""}]"
In this study we explored the role of these AP - 1 elements in the context of the infection.	"AP - 1	44	50	Complex"	"[{""token"": ""AP - 1"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Complex""}]"
Altogether, these results underline the functional redundancy of the MIEP elements, highlighting the plasticity of this region, which probably evolved to ensure maximal transcriptional performance across many diverse environments.	"MIEP	69	73	Gene_or_gene_product"	"[{""token"": ""MIEP"", ""start_span"": 69, ""end_span"": 73, ""type"": ""Gene_or_gene_product""}]"
Interleukin ( IL) - 23 is an essential cytokine involved in the expansion of a novel CD4 ( +) T helper subset known as Th17, which has been implicated in the pathogenesis of periodontitis recently.	"CD4	85	88	Gene_or_gene_product"	"[{""token"": ""CD4"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Gene_or_gene_product""}]"
TGF - beta1 is a pleiotropic cytokine with potent anti - inflammation property.	"TGF - beta1	0	11	Gene_or_gene_product"	"[{""token"": ""TGF - beta1"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Gene_or_gene_product""}]"
However, the mechanisms underlying TGF - beta1 suppression of inflammation remain largely unexplored.	"TGF - beta1	35	46	Gene_or_gene_product"	"[{""token"": ""TGF - beta1"", ""start_span"": 35, ""end_span"": 46, ""type"": ""Gene_or_gene_product""}]"
Multivariate Cox regression analysis showed that T stage, lymph node metastasis, and nuclear factor - kappaB were independent prognostic factors for laryngeal squamous cell carcinoma ( P =. 038, P =. 014, and P =. 005, respectively).	"nuclear factor - kappaB	85	108	Complex"	"[{""token"": ""nuclear factor - kappaB"", ""start_span"": 85, ""end_span"": 108, ""type"": ""Complex""}]"
