The normal growth and differentiation of the epidermis require an adequate supply of vitamin A.	"vitamin A	85	94	Chemical"	"[{""token"": ""vitamin A"", ""start_span"": 85, ""end_span"": 94, ""type"": ""Chemical""}]"
We further find that expression of activated IKKbeta is associated with TSC1 Ser511 phosphorylation and VEGF production in multiple tumor types and correlates with poor clinical outcome of breast cancer patients.	"Ser511	77	83	Chemical"	"[{""token"": ""Ser511"", ""start_span"": 77, ""end_span"": 83, ""type"": ""Chemical""}]"
Knockdown of YY1 caused a significant decrease in mitochondrial gene expression and in respiration, and YY1 was required for rapamycin - dependent repression of those genes.	"rapamycin	125	134	Chemical"	"[{""token"": ""rapamycin"", ""start_span"": 125, ""end_span"": 134, ""type"": ""Chemical""}]"
Differential effects of chemotherapeutic drugs versus the MDM - 2 antagonist nutlin - 3 on cell cycle progression and induction of apoptosis in SKW6. 4 lymphoblastoid B - cells.	"nutlin - 3	77	87	Chemical"	"[{""token"": ""nutlin - 3"", ""start_span"": 77, ""end_span"": 87, ""type"": ""Chemical""}]"
In particular, chlorambucil upregulated the steady - state mRNA expression of SFN / 14 - 3 - 3sigma, a gene involved in G2 / M cell cycle arrest.	"chlorambucil	15	27	Chemical"	"[{""token"": ""chlorambucil"", ""start_span"": 15, ""end_span"": 27, ""type"": ""Chemical""}]"
Specific induction of PAG608 in cranial and spinal motor neurons of L - DOPA - treated parkinsonian rats.	"L - DOPA	68	76	Chemical"	"[{""token"": ""L - DOPA"", ""start_span"": 68, ""end_span"": 76, ""type"": ""Chemical""}]"
We identified p53 - activated gene 608 ( PAG608) as a specifically induced gene in striatal tissue of L - DOPA ( 100mg / kg) - injected hemi - parkinsonian rats using differential display assay.	"L - DOPA	102	110	Chemical"	"[{""token"": ""L - DOPA"", ""start_span"": 102, ""end_span"": 110, ""type"": ""Chemical""}]"
In the present study, we further examined morphological distribution of PAG608 in the central nervous system of L - DOPA - treated hemi - parkinsonian rats.	"L - DOPA	112	120	Chemical"	"[{""token"": ""L - DOPA"", ""start_span"": 112, ""end_span"": 120, ""type"": ""Chemical""}]"
PAG608 expression was markedly induced in fibers and neuronal cells of the lateral globus pallidus and reticular thalamic nucleus adjacent to internal capsule, specifically in the parkinsonian side of L - DOPA - treated models.	"L - DOPA	201	209	Chemical"	"[{""token"": ""L - DOPA"", ""start_span"": 201, ""end_span"": 209, ""type"": ""Chemical""}]"
Furthermore, L - DOPA - induced PAG608 expression on motor neurons in the contralateral side of the ventral horn of the spinal cord and the lateral corticospinal tract without cell loss.	"L - DOPA	13	21	Chemical"	"[{""token"": ""L - DOPA"", ""start_span"": 13, ""end_span"": 21, ""type"": ""Chemical""}]"
The specific induction of PAG608 6 - 48h after L - DOPA injection in the extrapyramidal tracts, pyramidal tracts and corresponding lower motor neurons of the spinal cords suggests its involvement in molecular events in stimulated motor neurons.	"L - DOPA	47	55	Chemical"	"[{""token"": ""L - DOPA"", ""start_span"": 47, ""end_span"": 55, ""type"": ""Chemical""}]"
Small molecular weight variants of p53 are expressed in human melanoma cells and are induced by the DNA - damaging agent cisplatin.	"cisplatin	121	130	Chemical"	"[{""token"": ""cisplatin"", ""start_span"": 121, ""end_span"": 130, ""type"": ""Chemical""}]"
We also characterized the relationship between the expression of p53, p53 isoforms, and p53 target genes following treatment with the DNA - damaging agent cisplatin.	"cisplatin	155	164	Chemical"	"[{""token"": ""cisplatin"", ""start_span"": 155, ""end_span"": 164, ""type"": ""Chemical""}]"
Treatment with cisplatin had differential effects on WTp53 and the small molecular weight form of p53 that were cell line dependent.	"cisplatin	15	24	Chemical"	"[{""token"": ""cisplatin"", ""start_span"": 15, ""end_span"": 24, ""type"": ""Chemical""}]"
Citral is a major compound of lemongrass ( Cymbopogon citratus L.) that has many pharmacological activities such as anti - fungal and anti - bacterial effects.	"Citral	0	6	Chemical"	"[{""token"": ""Citral"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Chemical""}]"
Furthermore, it was found that citral effectively inhibited the transcriptional activity and expression of iNOS, and potently suppressed the DNA binding activity and nuclear translocation of NF - kappa B as well as I kappa B phosphorylation in a concentration dependent manner.	"citral	31	37	Chemical"	"[{""token"": ""citral"", ""start_span"": 31, ""end_span"": 37, ""type"": ""Chemical""}]"
However, Src treatment led to tyrosine phosphorylation of p27 and catalytic activation of assembled cyclin D1 - Cdk4 - p27 complexes.	"tyrosine	30	38	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 30, ""end_span"": 38, ""type"": ""Chemical""}]"
Thus, while PKB - dependent p27 phosphorylation appears to increase cyclin D1 - Cdk4 - p27 assembly or stabilize these complexes in vitro, cyclin D1 - Cdk4 - p27 activation requires the tyrosine phosphorylation of p27.	"tyrosine	186	194	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 186, ""end_span"": 194, ""type"": ""Chemical""}]"
Stably overexpressed human Frizzled - 2 signals through the beta - catenin pathway and does not activate Ca2 + - mobilization in Human Embryonic Kidney 293 cells.	"Ca2 +	105	110	Chemical"	"[{""token"": ""Ca2 +"", ""start_span"": 105, ""end_span"": 110, ""type"": ""Chemical""}]"
Studies with a chimeric receptor composed of Frizzled - 2 and the beta2 - adrenergic receptor have suggested that the binding of Wnt - 5a to Frizzled - 2 results in the activation of G proteins of the Galpha ( i) family, the mobilization of calcium from intracellular stores and the induction of gene transcription through nuclear factor of activated T cells.	"calcium	241	248	Chemical"	"[{""token"": ""calcium"", ""start_span"": 241, ""end_span"": 248, ""type"": ""Chemical""}]"
In this report, we demonstrate by using beta - lactamase reporter gene technology that full - length, wild - type human Frizzled - 2 does not couple to calcium - mediated signaling in HEK293 cells following stimulation with purified recombinant mouse Wnt - 5a.	"calcium	152	159	Chemical"	"[{""token"": ""calcium"", ""start_span"": 152, ""end_span"": 159, ""type"": ""Chemical""}]"
TCDD induces cell migration via NFATc1 / ATX - signaling in MCF - 7 cells.	"TCDD	0	4	Chemical"	"[{""token"": ""TCDD"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Chemical""}]"
Breast cancer is characterized, among others, by the concurrence of lipophilic xenobiotica such as 2, 3, 7, 8 - tetrachlorodibenzo - para - dioxin ( TCDD) with hypoxic tissue conditions.	"TCDD	149	153	Chemical"	"[{""token"": ""TCDD"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Chemical""}]"
In the present study, the interplay of the three transcription factors was studied and correlated with the migration of MCF - 7 cells in response to TCDD and / or hypoxia.	"TCDD	149	153	Chemical"	"[{""token"": ""TCDD"", ""start_span"": 149, ""end_span"": 153, ""type"": ""Chemical""}]"
This effect correlated with increased migration observed after TCDD treatment.	"TCDD	63	67	Chemical"	"[{""token"": ""TCDD"", ""start_span"": 63, ""end_span"": 67, ""type"": ""Chemical""}]"
Delivery outcomes, fetal status, serum progesterone, and nuclear translocation of the transcription factor nuclear factor kappa B ( NFkappaB) were determined.	"progesterone	39	51	Chemical"	"[{""token"": ""progesterone"", ""start_span"": 39, ""end_span"": 51, ""type"": ""Chemical""}]"
Intrauterine fetal survival, maintenance of circulating progesterone levels, and nuclear translocation of NFkappaB were also dependent upon MyD88 but not TRIF.	"progesterone	56	68	Chemical"	"[{""token"": ""progesterone"", ""start_span"": 56, ""end_span"": 68, ""type"": ""Chemical""}]"
Taken together, Licochalcone A might contribute to the potent anti - inflammatory effect of G. inflata through the unique mechanism of NF - kappaB inhibition.	"Licochalcone A	16	30	Chemical"	"[{""token"": ""Licochalcone A"", ""start_span"": 16, ""end_span"": 30, ""type"": ""Chemical""}]"
Pyrrolidine dithiocarbamate, a NF - kappaB inhibitor, upregulates MMP - 1 and MMP - 13 in IL - 1beta - stimulated rheumatoid arthritis fibroblast - like synoviocytes.	"Pyrrolidine dithiocarbamate	0	27	Chemical"	"[{""token"": ""Pyrrolidine dithiocarbamate"", ""start_span"": 0, ""end_span"": 27, ""type"": ""Chemical""}]"
FLSs were treated with IL - 1beta ( 10 ng / ml) for 24 h in the presence or absence of PDTC.	"PDTC	87	91	Chemical"	"[{""token"": ""PDTC"", ""start_span"": 87, ""end_span"": 91, ""type"": ""Chemical""}]"
However, PDTC - mediated repression of IL - 6 and VEGF expression was not observed in TNF - alpha - stimulated rheumatoid arthritis FLSs.	"PDTC	9	13	Chemical"	"[{""token"": ""PDTC"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Chemical""}]"
The stimulatory effect of PDTC on MMP expression was not mimicked by specific inhibitors of the mitogen - activated protein kinase ( MAPK) signaling pathway.	"PDTC	26	30	Chemical"	"[{""token"": ""PDTC"", ""start_span"": 26, ""end_span"": 30, ""type"": ""Chemical""}]"
Treatments with 100 muM PDTC did not inhibit the phosphorylation of p - ERK1 / 2, p - P38, and p - JNK, or the transnuclear migration of NF - kappaB through degradation of IkappaB - alpha in IL - 1beta - stimulated FLSs.	"PDTC	24	28	Chemical"	"[{""token"": ""PDTC"", ""start_span"": 24, ""end_span"": 28, ""type"": ""Chemical""}]"
The absence of PUMA led to a significantly elevated incidence of precursor lesions induced by AOM.	"AOM	94	97	Chemical"	"[{""token"": ""AOM"", ""start_span"": 94, ""end_span"": 97, ""type"": ""Chemical""}]"
AOM was found to induce p53 - dependent PUMA expression and PUMA - dependent apoptosis in the colonic crypts and stem cell compartment.	"AOM	0	3	Chemical"	"[{""token"": ""AOM"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Chemical""}]"
Methylation of lysine 9 on histone H3 ( H3K9) is widely associated with transcriptional silencing, and its disappearance is linked to the activation of several inflammatory genes by NF - kappaB.	"lysine 9	15	23	Chemical"	"[{""token"": ""lysine 9"", ""start_span"": 15, ""end_span"": 23, ""type"": ""Chemical""}]"
Nuclear IRS - 2 interaction with NF - kappaB - p65 and PI3K binding tyrosine residues of IRS - 2 are crucial for the NF - kappaB activities.	"tyrosine	68	76	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 68, ""end_span"": 76, ""type"": ""Chemical""}]"
Regulation of Angiotensin II receptor signaling by cysteine modification of NF - kappaB.	"cysteine	51	59	Chemical"	"[{""token"": ""cysteine"", ""start_span"": 51, ""end_span"": 59, ""type"": ""Chemical""}]"
In cardiac fibroblasts, stimulation with cytokines or bacterial toxins induces AT ( 1) R up - regulation through NADPH oxidase - dependent ROS production.	"ROS	139	142	Chemical"	"[{""token"": ""ROS"", ""start_span"": 139, ""end_span"": 142, ""type"": ""Chemical""}]"
Furthermore, LPS induces CITED2 expression via NF - kappaB in macrophages.	"LPS	13	16	Chemical"	"[{""token"": ""LPS"", ""start_span"": 13, ""end_span"": 16, ""type"": ""Chemical""}]"
We found that TGF - beta1 induced glycogen synthase kinase - 3beta ( GSK - 3beta) phosphorylation on Ser - 9 in HKC - 8 cells, leading to its inactivation.	"Ser - 9	101	108	Chemical"	"[{""token"": ""Ser - 9"", ""start_span"": 101, ""end_span"": 108, ""type"": ""Chemical""}]"
A high - throughput screen using a cell - based assay for monitoring FADD - kinase activity identified NSC 47147 as a small molecule inhibitor of FADD phosphorylation.	"NSC 47147	103	112	Chemical"	"[{""token"": ""NSC 47147"", ""start_span"": 103, ""end_span"": 112, ""type"": ""Chemical""}]"
NSC 47147 was shown to decrease levels of p - FADD and NF - kappaB activity such that combination therapy leads to greater induction of apoptosis and enhanced tumor control than either agent alone.	"NSC 47147	0	9	Chemical"	"[{""token"": ""NSC 47147"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Chemical""}]"
IGF - 1 and phorbol ester increased hBVR / PKCdelta binding; hBVR was required for the activation of PKCdelta and its interaction with ERK2.	"phorbol ester	12	25	Chemical"	"[{""token"": ""phorbol ester"", ""start_span"": 12, ""end_span"": 25, ""type"": ""Chemical""}]"
Phorbol ester - and TNF - alpha - dependent activation of the ERK - regulated transcription factors Elk1 and NF - kappaB and expression of the iNOS gene were suppressed by hBVR siRNA; those activities were rescued by hBVR.	"Phorbol ester	0	13	Chemical"	"[{""token"": ""Phorbol ester"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Chemical""}]"
This 51 - bp region mediates the action of two zinc fingers, Sp1 ( specific protein - 1) and Sp3, acting as trans - activators of type I collagen expression in ANF and SF.	"zinc	47	51	Chemical"	"[{""token"": ""zinc"", ""start_span"": 47, ""end_span"": 51, ""type"": ""Chemical""}]"
Significant phosphorylation ( up to 1 mol of phosphate / mol of p25 subunit) occurs only when the protein is part of the eIF - 4F complex.	"phosphate	45	54	Chemical"	"[{""token"": ""phosphate"", ""start_span"": 45, ""end_span"": 54, ""type"": ""Chemical""}]"
With purified eIF - 4E, using the same conditions, up to 0. 1 mol of phosphate can be incorporated.	"phosphate	69	78	Chemical"	"[{""token"": ""phosphate"", ""start_span"": 69, ""end_span"": 78, ""type"": ""Chemical""}]"
Phosphorylation of eIF - 4F on the p220 and p25 subunits does not affect the stability of the complex as indicated by gel filtration on Sephacryl S - 300.	"Sephacryl S - 300	136	153	Chemical"	"[{""token"": ""Sephacryl S - 300"", ""start_span"": 136, ""end_span"": 153, ""type"": ""Chemical""}]"
The major pathway of arachidonic acid metabolism in human platelets proceeds via a 12 - lipoxygenase enzyme; however, the biological role of the product of this reaction, 12 - hydro ( pero) xyeicosatetraenoic acid [ 12 - H ( P) ETE], is unknown.	"arachidonic acid	21	37	Chemical"	"[{""token"": ""arachidonic acid"", ""start_span"": 21, ""end_span"": 37, ""type"": ""Chemical""}]"
Intact cells and lysed - cell supernatants were able to synthesize 12 - H ( P) ETE from arachidonic acid, whereas no 12 - H ( P) ETE synthesis was detected in mock - transfected cells.	"arachidonic acid	88	104	Chemical"	"[{""token"": ""arachidonic acid"", ""start_span"": 88, ""end_span"": 104, ""type"": ""Chemical""}]"
Quantitation of the efflux of acylcarnitines from rat heart, brain, and liver mitochondria.	"acylcarnitines	30	44	Chemical"	"[{""token"": ""acylcarnitines"", ""start_span"": 30, ""end_span"": 44, ""type"": ""Chemical""}]"
The efflux of individual short - chain and medium - chain acylcarnitines from rat liver, heart, and brain mitochondria metabolizing several substrates has been measured.	"acylcarnitines	58	72	Chemical"	"[{""token"": ""acylcarnitines"", ""start_span"": 58, ""end_span"": 72, ""type"": ""Chemical""}]"
The acylcarnitine efflux profiles depend on the substrate, the source of mitochondria, and the incubation conditions.	"acylcarnitine	4	17	Chemical"	"[{""token"": ""acylcarnitine"", ""start_span"": 4, ""end_span"": 17, ""type"": ""Chemical""}]"
Acetylcarnitine production from some substrates peaks and then declines, indicating uptake and utilization.	"Acetylcarnitine	0	15	Chemical"	"[{""token"": ""Acetylcarnitine"", ""start_span"": 0, ""end_span"": 15, ""type"": ""Chemical""}]"
GlcA ( 2 - SO4) - [ 3H] AManR ( 6 - SO4) was prepared by epimerization of IdoA ( 2 - SO4) - [ 3H] AManR ( 6 - SO4) with hydrazine at 100 degrees C.	"hydrazine	120	129	Chemical"	"[{""token"": ""hydrazine"", ""start_span"": 120, ""end_span"": 129, ""type"": ""Chemical""}]"
The wee1 protein kinase suppresses the entry into mitosis by mediating the inhibitory tyrosine phosphorylation of p34cdc2.	"tyrosine	86	94	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 86, ""end_span"": 94, ""type"": ""Chemical""}]"
The nim1 - catalyzed phosphorylation of the wee1 protein occurs in its C - terminal region and leads to a substantial drop in its activity as a cdc2 - specific tyrosine kinase.	"tyrosine	160	168	Chemical"	"[{""token"": ""tyrosine"", ""start_span"": 160, ""end_span"": 168, ""type"": ""Chemical""}]"
These findings suggest that PI 3 - kinase, through the Rho - GAP homology domain of p85, can couple to the effector domain of Cdc42Hs and that p85 may be a target for the GTP - bound forms of Cdc42Hs and Rac1.	"GTP	171	174	Chemical"	"[{""token"": ""GTP"", ""start_span"": 171, ""end_span"": 174, ""type"": ""Chemical""}]"
Molecular cloning of a novel esterase involved in the metabolic activation of arylamine carcinogens with high sequence similarity to hormone - sensitive lipase.	"arylamine	78	87	Chemical"	"[{""token"": ""arylamine"", ""start_span"": 78, ""end_span"": 87, ""type"": ""Chemical""}]"
Activity determination and immunoblot analysis of DAC in human target tissues for arylamine carcinogens revealed that in extrahepatic tissues, additional enzymes are responsible for any deacetylation activity, whereas a single enzyme predominantly catalyzes this hydrolytic reaction in liver.	"arylamine	82	91	Chemical"	"[{""token"": ""arylamine"", ""start_span"": 82, ""end_span"": 91, ""type"": ""Chemical""}]"
When extracts of pulse - labeled cells were analyzed by anion - exchange and size - exclusion chromatography, newly synthesized alpha - tubulin, beta - tubulin, and actin were observed to enter a large molecular mass complex ( approximately 900 kDa).	"anion	56	61	Chemical"	"[{""token"": ""anion"", ""start_span"": 56, ""end_span"": 61, ""type"": ""Chemical""}]"
Here, we demonstrate that the placement of the specific Myc DNA binding site CACGTG upstream of a luciferase reporter gene conferred Myc - stimulated expression that was inhibited by the overexpression of the basic - helix - loop - helix / leucine zipper protein Max.	"leucine	240	247	Chemical"	"[{""token"": ""leucine"", ""start_span"": 240, ""end_span"": 247, ""type"": ""Chemical""}]"
Replacement of these phosphorylation sites with Ala residues caused a marked decrease in Myc - stimulated reporter gene expression.	"Ala	48	51	Chemical"	"[{""token"": ""Ala"", ""start_span"": 48, ""end_span"": 51, ""type"": ""Chemical""}]"
BACKGROUND: Protein kinase Cs are a family of enzymes that transduce the plethora of signals promoting lipid hydrolysis.	"lipid	103	108	Chemical"	"[{""token"": ""lipid"", ""start_span"": 103, ""end_span"": 108, ""type"": ""Chemical""}]"
Firstly, trans - phosphorylation on the activation loop ( T500) renders it catalytically competent to autophosphorylate.	"T500	58	62	Chemical"	"[{""token"": ""T500"", ""start_span"": 58, ""end_span"": 62, ""type"": ""Chemical""}]"
Secondly, a subsequent autophosphorylation on the carboxyl terminus ( T641) maintains catalytic competence.	"T641	70	74	Chemical"	"[{""token"": ""T641"", ""start_span"": 70, ""end_span"": 74, ""type"": ""Chemical""}]"
Thirdly, a second autophosphorylation on the carboxyl terminus ( S660) regulates the enzyme ' s subcellular localization.	"S660	65	69	Chemical"	"[{""token"": ""S660"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Chemical""}]"
Electrophysiological studies reveal that Pi transport by Na / Pi cotransporters is electrogenic.	"Pi	41	43	Chemical"	"[{""token"": ""Pi"", ""start_span"": 41, ""end_span"": 43, ""type"": ""Chemical""}]"
Altered Pi reabsorption as observed in X - linked hypophosphatemia is largely via the type II Na / Pi cotransporter.	"Pi	8	10	Chemical"	"[{""token"": ""Pi"", ""start_span"": 8, ""end_span"": 10, ""type"": ""Chemical""}]"
Na, K - ATPase beta2 expression is negligible, indicating that the human cardiac glycoside receptors are alpha1beta1, alpha2beta1, and alpha3beta1.	"glycoside	81	90	Chemical"	"[{""token"": ""glycoside"", ""start_span"": 81, ""end_span"": 90, ""type"": ""Chemical""}]"
Adenosine kinase is ubiquitous in eukaryotes and is a key enzyme in the regulation of the intracellular levels of adenosine, an important physiological effector of many cells and tissues.	"adenosine	114	123	Chemical"	"[{""token"": ""adenosine"", ""start_span"": 114, ""end_span"": 123, ""type"": ""Chemical""}]"
We have expressed both forms in E. coli and produced soluble active enzyme which catalyzes the phosphorylation of adenosine with high specific activity in vitro and is susceptible to known adenosine kinase inhibitors.	"adenosine	114	123	Chemical"	"[{""token"": ""adenosine"", ""start_span"": 114, ""end_span"": 123, ""type"": ""Chemical""}]"
In several organisms homologs of the Wee1 kinase have been shown to be the major activity responsible for phosphorylating the Tyr15 inhibitory site.	"Tyr15	126	131	Chemical"	"[{""token"": ""Tyr15"", ""start_span"": 126, ""end_span"": 131, ""type"": ""Chemical""}]"
A membrane - bound kinase capable of phosphorylating residue Thr14, the Myt1 kinase, has been identified in the frog Xenopus laevis and more recently in human.	"Thr14	61	66	Chemical"	"[{""token"": ""Thr14"", ""start_span"": 61, ""end_span"": 66, ""type"": ""Chemical""}]"
Cloning of a human phosphoinositide 3 - kinase with a C2 domain that displays reduced sensitivity to the inhibitor wortmannin.	"wortmannin	115	125	Chemical"	"[{""token"": ""wortmannin"", ""start_span"": 115, ""end_span"": 125, ""type"": ""Chemical""}]"
The generation of phosphatidylinositide 3 - phosphates has been observed in a variety of cellular responses.	"phosphatidylinositide 3 - phosphates	18	54	Chemical"	"[{""token"": ""phosphatidylinositide 3 - phosphates"", ""start_span"": 18, ""end_span"": 54, ""type"": ""Chemical""}]"
Biochemical analysis of recombinant PI3 - K - C2 alpha demonstrates a restricted lipid substrate specificity.	"lipid	81	86	Chemical"	"[{""token"": ""lipid"", ""start_span"": 81, ""end_span"": 86, ""type"": ""Chemical""}]"
The 2. 4 - A x - ray crystal structure of this C2 domain was solved by multiple isomorphous replacement and reveals a beta - sandwich with the same topology as the C2 domain from phosphoinositide - specific phospholipase C delta 1.	"phosphoinositide	179	195	Chemical"	"[{""token"": ""phosphoinositide"", ""start_span"": 179, ""end_span"": 195, ""type"": ""Chemical""}]"
Two clusters of exposed hydrophobic residues surround two adjacent calcium binding sites.	"calcium	67	74	Chemical"	"[{""token"": ""calcium"", ""start_span"": 67, ""end_span"": 74, ""type"": ""Chemical""}]"
The recently identified putative rat homologue of CD39L1 has been shown to have E - type ecto - ATPase activity, by hydrolyzing extracellular ATP.	"ATP	96	99	Chemical"	"[{""token"": ""ATP"", ""start_span"": 96, ""end_span"": 99, ""type"": ""Chemical""}]"
The p53 tumor suppressor protein is activated and phosphorylated on serine - 15 in response to various DNA damaging agents.	"serine - 15	68	79	Chemical"	"[{""token"": ""serine - 15"", ""start_span"": 68, ""end_span"": 79, ""type"": ""Chemical""}]"
These observations, along with the fact that phosphorylation of p53 on serine - 15 in response to ionizing radiation is reduced in ataxia telangiectasia cells, suggest that ATM is a protein kinase that phosphorylates p53 in vivo.	"serine - 15	71	82	Chemical"	"[{""token"": ""serine - 15"", ""start_span"": 71, ""end_span"": 82, ""type"": ""Chemical""}]"
