We verified the differential expression of spy2039 and spy0130 by qRT - PCR.	"spy2039	43	50	Protein"	"spy0130	55	62	Protein"	"[{""token"": ""spy2039"", ""start_span"": 43, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""spy0130"", ""start_span"": 55, ""end_span"": 62, ""type"": ""Protein""}]"
As shown in Figure 7A, the NIH230 strain caused bacteremia in mice 24 h after intraperitoneal injection whereas the bacteremia was barely detected in mice infected with NIH230:: csrS + as well as the 1566 strain ( p = 0. 005 compared with non - invasive isolates, and p = 0. 005 compared with invasive isolates + CsrS).	"csrS +	178	184	Protein"	"CsrS	313	317	Protein"	"[{""token"": ""csrS +"", ""start_span"": 178, ""end_span"": 184, ""type"": ""Protein""}, {""token"": ""CsrS"", ""start_span"": 313, ""end_span"": 317, ""type"": ""Protein""}]"
scpC and slo are insufficient singly for the pathogenesis of invasive infections	"scpC	0	4	Protein"	"slo	9	12	Protein"	"[{""token"": ""scpC"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""slo"", ""start_span"": 9, ""end_span"": 12, ""type"": ""Protein""}]"
Finally, we assessed the influence of enhanced expression of the scpC or the slo gene on the virulence in a mouse model.	"scpC	65	69	Protein"	"slo	77	80	Protein"	"[{""token"": ""scpC"", ""start_span"": 65, ""end_span"": 69, ""type"": ""Protein""}, {""token"": ""slo"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Protein""}]"
As shown in Table 1, NIH230scpC and NIH230slo exerted the LD50 value 3 - 10 fold lower than that of the non - invasive isolate 1566, but 10 - 30 fold higher than that of severe invasive isolates.	"NIH230scpC	21	31	Protein"	"NIH230slo	36	45	Protein"	"[{""token"": ""NIH230scpC"", ""start_span"": 21, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""NIH230slo"", ""start_span"": 36, ""end_span"": 45, ""type"": ""Protein""}]"
These results suggest that enhanced expression of ScpC and SLO in invasive GAS plays an important role in vivo virulence of GAS infection.	"ScpC	50	54	Protein"	"SLO	59	62	Protein"	"[{""token"": ""ScpC"", ""start_span"": 50, ""end_span"": 54, ""type"": ""Protein""}, {""token"": ""SLO"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Protein""}]"
It have been demonstrated that CsrS / R is a member of the two - component regulatory systems for regulating the multipe virulence factors of GAS, by using genetically - manipulated GAS mutants [ 20].	"CsrS	31	35	Protein"	"R	38	39	Protein"	"[{""token"": ""CsrS"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""R"", ""start_span"": 38, ""end_span"": 39, ""type"": ""Protein""}]"
Introduction of the intact csrS gene into the severe invasive GAS restored the susceptibility to the killing by PMN and abrogated the activity for inhibition of PMN recruitment and survival, thus, demonstrating an instructional role of the loss - of - functional mutations in csrS gene for the evasion of PMN functions, providing unique pathophysiology of invasive GAS infections.	"csrS	27	31	Protein"	"csrS	276	280	Protein"	"[{""token"": ""csrS"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}, {""token"": ""csrS"", ""start_span"": 276, ""end_span"": 280, ""type"": ""Protein""}]"
However, the severe invasive isolates analyzed in this study accumulated mutations in the csrS gene but not in the csrR gene ( Figure 5B and data not shown).	"csrS	90	94	Protein"	"csrR	115	119	Protein"	"[{""token"": ""csrS"", ""start_span"": 90, ""end_span"": 94, ""type"": ""Protein""}, {""token"": ""csrR"", ""start_span"": 115, ""end_span"": 119, ""type"": ""Protein""}]"
This dominant role of CsrS is the first important observation in this study, and its mutation is possibly more important than that of csrR in terms of etiopathogenesis of human severe invasive diseases.	"CsrS	22	26	Protein"	"csrR	134	138	Protein"	"[{""token"": ""CsrS"", ""start_span"": 22, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""csrR"", ""start_span"": 134, ""end_span"": 138, ""type"": ""Protein""}]"
DNase activity of the emm49 severe invasive GAS was lower than that of non - invasive GAS ( Figure S1B), possibly due to the difference of emm type.	"DNase	0	5	Protein"	"emm49	22	27	Protein"	"[{""token"": ""DNase"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}, {""token"": ""emm49"", ""start_span"": 22, ""end_span"": 27, ""type"": ""Protein""}]"
The three - component system SadARS which regulates the formation of mature microcolonies [ 40] and PvrR, a response regulator involved in the switch from planktonic to antibiotic - resistant biofilm cells in P. aeruginosa are additional examples of regulators of biofilm formation [ 41].	"SadARS	29	35	Protein"	"PvrR	100	104	Protein"	"[{""token"": ""SadARS"", ""start_span"": 29, ""end_span"": 35, ""type"": ""Protein""}, {""token"": ""PvrR"", ""start_span"": 100, ""end_span"": 104, ""type"": ""Protein""}]"
In P. aeruginosa, resistance to CAPs is inducible by the PhoPQ and PmrAB TCSs, both of which are activated independently in response to limiting Mg2 + [ 43] - [ 46].	"PhoPQ	57	62	Protein"	"PmrAB	67	72	Protein"	"[{""token"": ""PhoPQ"", ""start_span"": 57, ""end_span"": 62, ""type"": ""Protein""}, {""token"": ""PmrAB"", ""start_span"": 67, ""end_span"": 72, ""type"": ""Protein""}]"
The PhoPQ and PmrAB regulatory systems are well studied in planktonic cultures and have been shown to induce modest resistance to CAPs ( 8 - fold) under low Mg2 + conditions [ 45].	"PhoPQ	4	9	Protein"	"PmrAB	14	19	Protein"	"[{""token"": ""PhoPQ"", ""start_span"": 4, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""PmrAB"", ""start_span"": 14, ""end_span"": 19, ""type"": ""Protein""}]"
However, while the PA3552 - PA3559 operon has been reported to be expressed in biofilms cultivated in flowcells, and is required for survival in response to colistin treatment [ 49], little else is known regarding these systems and the role they may play in biofilm - associated antibiotic resistance.	"PA3552	19	25	Protein"	"PA3559	28	34	Protein"	"[{""token"": ""PA3552"", ""start_span"": 19, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 28, ""end_span"": 34, ""type"": ""Protein""}]"
Extracellular DNA induces expression of the PA3552 - PA3559 CAP resistance operon in planktonic cultures	"PA3552	44	50	Protein"	"PA3559	53	59	Protein"	"[{""token"": ""PA3552"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 53, ""end_span"": 59, ""type"": ""Protein""}]"
The genes PA3552 - PA3559 are co - regulated under low Mg2 + conditions and are thought to be organized as an operon [ 45] - [ 47].	"PA3552	10	16	Protein"	"PA3559	19	25	Protein"	"[{""token"": ""PA3552"", ""start_span"": 10, ""end_span"": 16, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 19, ""end_span"": 25, ""type"": ""Protein""}]"
To determine if extracellular DNA imposes Mg2 + limitation, we measured the gene expression of a chromosomally encoded transcriptional lux ( bioluminescence) fusion to PA3553, as a measure of the CAP resistance operon expression in planktonic cultures.	"lux	135	138	Protein"	"PA3553	168	174	Protein"	"[{""token"": ""lux"", ""start_span"": 135, ""end_span"": 138, ""type"": ""Protein""}, {""token"": ""PA3553"", ""start_span"": 168, ""end_span"": 174, ""type"": ""Protein""}]"
PA3553:: lux expression was strongly induced ( up to 10 - fold) by sub - inhibitory concentrations of low molecular weight salmon sperm DNA ( Fig 4A).	"PA3553	0	6	Protein"	"lux	9	12	Protein"	"[{""token"": ""PA3553"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}, {""token"": ""lux"", ""start_span"": 9, ""end_span"": 12, ""type"": ""Protein""}]"
A similar induction profile of PA3553:: lux was observed following exposure to high molecular weight P. aeruginosa genomic DNA ( not shown) or P. aeruginosa genomic DNA that was mechanically sheared by sonication ( Fig 4C).	"PA3553	31	37	Protein"	"lux	40	43	Protein"	"[{""token"": ""PA3553"", ""start_span"": 31, ""end_span"": 37, ""type"": ""Protein""}, {""token"": ""lux"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Protein""}]"
To ensure that induction of PA3553 expression was specific to the ability of DNA to chelate cations, DNAse treated DNA was assessed for its ability to induce PA3553 gene expression ( Fig 4D).	"PA3553	28	34	Protein"	"PA3553	158	164	Protein"	"[{""token"": ""PA3553"", ""start_span"": 28, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""PA3553"", ""start_span"": 158, ""end_span"": 164, ""type"": ""Protein""}]"
Expression of the CAP resistance operon PA3552 - PA3559 is induced in biofilms in response to extracellular DNA	"PA3552	40	46	Protein"	"PA3559	49	55	Protein"	"[{""token"": ""PA3552"", ""start_span"": 40, ""end_span"": 46, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 49, ""end_span"": 55, ""type"": ""Protein""}]"
One - day old PA3553:: lux biofilms were washed to remove non - adhered cells and gene expression was measured from the cells adhered to the polystyrene peg surface.	"PA3553	14	20	Protein"	"lux	23	26	Protein"	"[{""token"": ""PA3553"", ""start_span"": 14, ""end_span"": 20, ""type"": ""Protein""}, {""token"": ""lux"", ""start_span"": 23, ""end_span"": 26, ""type"": ""Protein""}]"
Although gene expression was measured in a mutant background, both PAO1 and PA3553:: lux had similar biofilm phenotypes in each condition tested ( Fig 6A).	"PA3553	76	82	Protein"	"lux	85	88	Protein"	"[{""token"": ""PA3553"", ""start_span"": 76, ""end_span"": 82, ""type"": ""Protein""}, {""token"": ""lux"", ""start_span"": 85, ""end_span"": 88, ""type"": ""Protein""}]"
Taken together, these data indicate that P. aeruginosa can sense the presence of Mg2 +, Ca2 + or Mn2 + and that chelation of these same cations by DNA results in induction of the PA3552 - PA3559 LPS modification operon.	"PA3552	179	185	Protein"	"PA3559	188	194	Protein"	"[{""token"": ""PA3552"", ""start_span"": 179, ""end_span"": 185, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 188, ""end_span"": 194, ""type"": ""Protein""}]"
To determine if DNA - induced expression of PA3552 - PA3559 resulted in increased resistance to antimicrobials, antibiotic susceptibility testing of P. aeruginosa biofilms grown in the presence and absence of extracellular DNA was performed.	"PA3552	44	50	Protein"	"PA3559	53	59	Protein"	"[{""token"": ""PA3552"", ""start_span"": 44, ""end_span"": 50, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 53, ""end_span"": 59, ""type"": ""Protein""}]"
We have shown previously that the PA3552 - PA3559 operon is required for resistance to cationic antimicrobial peptides in planktonic cultures grown in limiting magnesium conditions [ 47].	"PA3552	34	40	Protein"	"PA3559	43	49	Protein"	"[{""token"": ""PA3552"", ""start_span"": 34, ""end_span"": 40, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 43, ""end_span"": 49, ""type"": ""Protein""}]"
To determine if DNA - induced resistance requires these genes in biofilms, the resistance phenotype of the PA3553:: lux mutant was determined.	"PA3553	107	113	Protein"	"lux	116	119	Protein"	"[{""token"": ""PA3553"", ""start_span"": 107, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""lux"", ""start_span"": 116, ""end_span"": 119, ""type"": ""Protein""}]"
PA3553:: lux had no significant DNA - induced CAP resistance in biofilm or planktonic cultures, confirming that these genes are essential for CAP resistance in the presence of extracellular DNA ( Table 1).	"PA3553	0	6	Protein"	"lux	9	12	Protein"	"[{""token"": ""PA3553"", ""start_span"": 0, ""end_span"": 6, ""type"": ""Protein""}, {""token"": ""lux"", ""start_span"": 9, ""end_span"": 12, ""type"": ""Protein""}]"
The biofilms formed by the PA3553:: lux mutant were unaltered compared to PAO1 biofilms under these conditions, ensuring that the difference observed was not due to an altered biofilm phenotype ( Fig 6B).	"PA3553	27	33	Protein"	"lux	36	39	Protein"	"[{""token"": ""PA3553"", ""start_span"": 27, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""lux"", ""start_span"": 36, ""end_span"": 39, ""type"": ""Protein""}]"
As an intracellular pathogen, the PhoPQ system of Salmonella typhimurium is activated by limiting magnesium in vitro and phoP - regulated genes are also induced after invasion of macrophages and epithelial cells [ 65].	"PhoPQ	34	39	Protein"	"phoP	121	125	Protein"	"[{""token"": ""PhoPQ"", ""start_span"": 34, ""end_span"": 39, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 121, ""end_span"": 125, ""type"": ""Protein""}]"
PhoQ mutants, which constitutively express phoP and are constitutively resistant to cationic antimicrobial peptides, are also more resistant to aminoglycosides [ 43].	"PhoQ	0	4	Protein"	"phoP	43	47	Protein"	"[{""token"": ""PhoQ"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""phoP"", ""start_span"": 43, ""end_span"": 47, ""type"": ""Protein""}]"
We report here that DNA - induces aminoglycoside resistance in P. aeruginosa biofilms, and this resistance is partially dependent on the LPS modification operon PA3552 - PA3559.	"PA3552	161	167	Protein"	"PA3559	170	176	Protein"	"[{""token"": ""PA3552"", ""start_span"": 161, ""end_span"": 167, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 170, ""end_span"": 176, ""type"": ""Protein""}]"
This coincides with the localization of a CAP - tolerant subpopulation of bacteria that expresses the PA3552 - PA3559 operon along the surface of mushroom - structured P. aeruginosa biofilms [ 49].	"PA3552	102	108	Protein"	"PA3559	111	117	Protein"	"[{""token"": ""PA3552"", ""start_span"": 102, ""end_span"": 108, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 111, ""end_span"": 117, ""type"": ""Protein""}]"
However, our data indicates that the presence of DNA in biofilms does indeed result in a cation - limited environment, resulting in the induction of the LPS modification operon PA3552 - PA3559.	"PA3552	177	183	Protein"	"PA3559	186	192	Protein"	"[{""token"": ""PA3552"", ""start_span"": 177, ""end_span"": 183, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 186, ""end_span"": 192, ""type"": ""Protein""}]"
Therefore, it appears that there are multiple environmental signals in the CF lung that can induce the expression the PA3552 - PA3559 operon, which may explain why many P. aeruginosa CF isolates show LPS modifications such as aminoarabinose addition to lipid A [ 78].	"PA3552	118	124	Protein"	"PA3559	127	133	Protein"	"[{""token"": ""PA3552"", ""start_span"": 118, ""end_span"": 124, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 127, ""end_span"": 133, ""type"": ""Protein""}]"
As many P. aeruginosa strains isolated from the CF lung overproduce the negatively charged EPS alginate, we hypothesized that alginate may also be a relevant in vivo signal inducing expression of the PA3552 - PA3559 operon.	"PA3552	200	206	Protein"	"PA3559	209	215	Protein"	"[{""token"": ""PA3552"", ""start_span"": 200, ""end_span"": 206, ""type"": ""Protein""}, {""token"": ""PA3559"", ""start_span"": 209, ""end_span"": 215, ""type"": ""Protein""}]"
However, our data suggests that the success of DNAseI therapy may, in part, be attributed to the degradation of DNA and subsequent disarming of the PhoPQ / PmrAB response and antibiotic resistance mechanisms.	"PhoPQ	148	153	Protein"	"PmrAB	156	161	Protein"	"[{""token"": ""PhoPQ"", ""start_span"": 148, ""end_span"": 153, ""type"": ""Protein""}, {""token"": ""PmrAB"", ""start_span"": 156, ""end_span"": 161, ""type"": ""Protein""}]"
Furthermore, these findings indicate that DNA - rich environments, such as bacterial biofilms or the CF lung, may represent the natural setting where bacterial growth is cation limited, and highlight the importance of the PhoPQ / PmrAB controlled response and LPS modifications in antibiotic resistance in biofilms.	"PhoPQ	222	227	Protein"	"PmrAB	230	235	Protein"	"[{""token"": ""PhoPQ"", ""start_span"": 222, ""end_span"": 227, ""type"": ""Protein""}, {""token"": ""PmrAB"", ""start_span"": 230, ""end_span"": 235, ""type"": ""Protein""}]"
This study aims at evaluating the importance of the two - component regulatory system VicRK to virulence of the horse pathogen Streptococcus equi subspecies equi and the potential of a vicK mutant as a live vaccine candidate using mouse infection models.	"VicRK	86	91	Protein"	"vicK	185	189	Protein"	"[{""token"": ""VicRK"", ""start_span"": 86, ""end_span"": 91, ""type"": ""Protein""}, {""token"": ""vicK"", ""start_span"": 185, ""end_span"": 189, ""type"": ""Protein""}]"
DeltavicK grows less slowly than the parent strain but retains the ability of S. equi to resist to phagocytosis by polymorphoneuclear leukocytes, suggesting that the vicK deletion causes growth defect.	"DeltavicK	0	9	Protein"	"vicK	166	170	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 0, ""end_span"": 9, ""type"": ""Protein""}, {""token"": ""vicK"", ""start_span"": 166, ""end_span"": 170, ""type"": ""Protein""}]"
These results indicate that VicRK is important to S. equi growth and virulence and suggest that DeltavicK has the potential to be developed as a live S. equi vaccine.	"VicRK	28	33	Protein"	"DeltavicK	96	105	Protein"	"[{""token"": ""VicRK"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""DeltavicK"", ""start_span"": 96, ""end_span"": 105, ""type"": ""Protein""}]"
The two - component regulatory system VicRK or YycFG is specific for Gram - positive bacteria.	"VicRK	38	43	Protein"	"YycFG	47	52	Protein"	"[{""token"": ""VicRK"", ""start_span"": 38, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""YycFG"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Protein""}]"
The hyaluronic acid capsule and S. equi M - like protein ( SeM) are both required for the resistance to phagocytosis by PMNs [ 16 - 17].	"M - like protein	40	56	Protein"	"SeM	59	62	Protein"	"[{""token"": ""M - like protein"", ""start_span"": 40, ""end_span"": 56, ""type"": ""Protein""}, {""token"": ""SeM"", ""start_span"": 59, ""end_span"": 62, ""type"": ""Protein""}]"
This study aims at evaluating the importance of VicRK to S. equi virulence and the potential of a vicK deletion mutant as a live vaccine using mouse infection models.	"VicRK	48	53	Protein"	"vicK	98	102	Protein"	"[{""token"": ""VicRK"", ""start_span"": 48, ""end_span"": 53, ""type"": ""Protein""}, {""token"": ""vicK"", ""start_span"": 98, ""end_span"": 102, ""type"": ""Protein""}]"
The vector pGRV has two genes aad and cmR for selections with spectinomycin and chloramphenicol, respectively.	"aad	30	33	Protein"	"cmR	38	41	Protein"	"[{""token"": ""aad"", ""start_span"": 30, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""cmR"", ""start_span"": 38, ""end_span"": 41, ""type"": ""Protein""}]"
The growth curve of the DeltavicK mutant in THY displays a longer early growth phase and smaller slope in the exponential growth phase than that of the parent strain ( Fig. 2A), indicating that the vicK deletion detrimentally affects S. equi growth.	"DeltavicK	24	33	Protein"	"vicK	198	202	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 24, ""end_span"": 33, ""type"": ""Protein""}, {""token"": ""vicK"", ""start_span"": 198, ""end_span"": 202, ""type"": ""Protein""}]"
To determine whether the DeltavicK deletion affects the resistance of S. equi to phagocytosis by PMNs, the phagocytosis of wild - type and DeltavicK bacteria by PMNs in non - immune horse and rabbit blood was compared.	"DeltavicK	25	34	Protein"	"DeltavicK	139	148	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 25, ""end_span"": 34, ""type"": ""Protein""}, {""token"": ""DeltavicK"", ""start_span"": 139, ""end_span"": 148, ""type"": ""Protein""}]"
The spy1718:: aad mutant of S. pyogenes, which is no longer resistant to phagocytosis by PMNs, was used as a positive control in the assay.	"spy1718	4	11	Protein"	"aad	14	17	Protein"	"[{""token"": ""spy1718"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Protein""}, {""token"": ""aad"", ""start_span"": 14, ""end_span"": 17, ""type"": ""Protein""}]"
The percentages of PMNs with associated wild - type S. equi and spy1718:: aad were low and high, respectively, indicating that the assay worked well to evaluate resistance of the bacteria to phagocytosis.	"spy1718	64	71	Protein"	"aad	74	77	Protein"	"[{""token"": ""spy1718"", ""start_span"": 64, ""end_span"": 71, ""type"": ""Protein""}, {""token"": ""aad"", ""start_span"": 74, ""end_span"": 77, ""type"": ""Protein""}]"
There was no significant difference in the percentages of PMNs associated with wild - type and DeltavicK bacteria at both time points and in both horse and rabbit blood ( Fig. 3), indicating that the DeltavicK mutant retains the ability of S. equi to resist to phagocytosis by PMNs.	"DeltavicK	95	104	Protein"	"DeltavicK	200	209	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 95, ""end_span"": 104, ""type"": ""Protein""}, {""token"": ""DeltavicK"", ""start_span"": 200, ""end_span"": 209, ""type"": ""Protein""}]"
To test whether DeltavicK infection confers immunity against S. equi infection, the seven mice recovered from the subcutaneous DeltavicK infection was reinfected subcutaneously with 1. 5 x 108 cfu wild - type S. equi 30 days after the first infection and monitored for 18 days.	"DeltavicK	16	25	Protein"	"DeltavicK	127	136	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 16, ""end_span"": 25, ""type"": ""Protein""}, {""token"": ""DeltavicK"", ""start_span"": 127, ""end_span"": 136, ""type"": ""Protein""}]"
To examine the humoral immune responses in the intranasal DeltavicK infection, nasal wash and serum samples were collected from the 8 mice infected intranasally with DeltavicK and 3 surviving mice infected with the wild - type S. equi 30 days after infection.	"DeltavicK	58	67	Protein"	"DeltavicK	166	175	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 58, ""end_span"": 67, ""type"": ""Protein""}, {""token"": ""DeltavicK"", ""start_span"": 166, ""end_span"": 175, ""type"": ""Protein""}]"
Western blotting analysis was used to confirm the presence of SeM - specific IgG.	"SeM	62	65	Protein"	"IgG	77	80	Protein"	"[{""token"": ""SeM"", ""start_span"": 62, ""end_span"": 65, ""type"": ""Protein""}, {""token"": ""IgG"", ""start_span"": 77, ""end_span"": 80, ""type"": ""Protein""}]"
Thus, the DeltavicK mutant has the ability to induce mucosal and systemic immune responses, though there was host variation in these responses caused by DeltavicK infection.	"DeltavicK	10	19	Protein"	"DeltavicK	153	162	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 10, ""end_span"": 19, ""type"": ""Protein""}, {""token"": ""DeltavicK"", ""start_span"": 153, ""end_span"": 162, ""type"": ""Protein""}]"
However, the DeltavicK mutant is attenuated in virulence in both mouse models of subcutaneous and intranasal S. equi infections, indicating that VicRK is important to virulence.	"DeltavicK	13	22	Protein"	"VicRK	145	150	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 13, ""end_span"": 22, ""type"": ""Protein""}, {""token"": ""VicRK"", ""start_span"": 145, ""end_span"": 150, ""type"": ""Protein""}]"
S. equi DeltavicK mutant does not grow as well as the wild - type strain in both THY and blood, suggesting that the vicK deletion causes defect in growth, a plausible reason that likely contributes to the attenuation of S. equi virulence in the mouse infection models.	"DeltavicK	8	17	Protein"	"vicK	116	120	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 8, ""end_span"": 17, ""type"": ""Protein""}, {""token"": ""vicK"", ""start_span"": 116, ""end_span"": 120, ""type"": ""Protein""}]"
This suggestion is further supported by the observations that both the wild - type and DeltavicK mutant strains are resistant to phagocytosis by PMNs, which suggest that VicRK is not required for the evasion of S. equi to the innate immunity.	"DeltavicK	87	96	Protein"	"VicRK	170	175	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 87, ""end_span"": 96, ""type"": ""Protein""}, {""token"": ""VicRK"", ""start_span"": 170, ""end_span"": 175, ""type"": ""Protein""}]"
However, whether DeltavicK can be an effective live vaccine and whether the DeltavicK mutant has any advantages over the current live S. equi vaccine require the test of the mutant in horses since S. equi does not naturally infect mice.	"DeltavicK	17	26	Protein"	"DeltavicK	76	85	Protein"	"[{""token"": ""DeltavicK"", ""start_span"": 17, ""end_span"": 26, ""type"": ""Protein""}, {""token"": ""DeltavicK"", ""start_span"": 76, ""end_span"": 85, ""type"": ""Protein""}]"
To assess the effects of growth conditions on expression of the SPI - 2 secretion apparatus we constructed a lacZ transcriptional fusion to ssaG, a component of the secretion apparatus, and tested expression in each mutant background under each of the four growth conditions.	"lacZ	109	113	Protein"	"ssaG	140	144	Protein"	"[{""token"": ""lacZ"", ""start_span"": 109, ""end_span"": 113, ""type"": ""Protein""}, {""token"": ""ssaG"", ""start_span"": 140, ""end_span"": 144, ""type"": ""Protein""}]"
At the same time we determined transcript levels via quantitative real - time PCR ( qRT - PCR), using transcripts from rpoD and gyrB as controls [ 51].	"rpoD	119	123	Protein"	"gyrB	128	132	Protein"	"[{""token"": ""rpoD"", ""start_span"": 119, ""end_span"": 123, ""type"": ""Protein""}, {""token"": ""gyrB"", ""start_span"": 128, ""end_span"": 132, ""type"": ""Protein""}]"
Note that rpoE and hfq mutants showed a dramatic reduction in macrophage survival, but little difference in transcription of SPI - 2 genes during growth in AMM.	"rpoE	10	14	Protein"	"hfq	19	22	Protein"	"[{""token"": ""rpoE"", ""start_span"": 10, ""end_span"": 14, ""type"": ""Protein""}, {""token"": ""hfq"", ""start_span"": 19, ""end_span"": 22, ""type"": ""Protein""}]"
It has recently been reported that the translational regulator Hfq, regulates translation of RpoE explaining in part why the two mutations behave similarly [ 54].	"Hfq	63	66	Protein"	"RpoE	93	97	Protein"	"[{""token"": ""Hfq"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Protein""}, {""token"": ""RpoE"", ""start_span"": 93, ""end_span"": 97, ""type"": ""Protein""}]"
We analyzed expression of each of the 123 genes and found that only two genes ( pepA and mopB) are negatively regulated; the remaining 121 are positively regulated.	"pepA	80	84	Protein"	"mopB	89	93	Protein"	"[{""token"": ""pepA"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}, {""token"": ""mopB"", ""start_span"": 89, ""end_span"": 93, ""type"": ""Protein""}]"
So, in Figure 6B all regulatory effects on SPI - 2 have been removed except for those mediated directly by slyA and ssrB based on additional genetic data as described below.	"slyA	107	111	Protein"	"ssrB	116	120	Protein"	"[{""token"": ""slyA"", ""start_span"": 107, ""end_span"": 111, ""type"": ""Protein""}, {""token"": ""ssrB"", ""start_span"": 116, ""end_span"": 120, ""type"": ""Protein""}]"
Expression of an episomal copy of ssrB resulted in expression of SPI - 2 genes in each mutant background, suggesting that SsrB is epistatic to other regulators for SPI - 2 transcription.	"ssrB	34	38	Protein"	"SsrB	122	126	Protein"	"[{""token"": ""ssrB"", ""start_span"": 34, ""end_span"": 38, ""type"": ""Protein""}, {""token"": ""SsrB"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Protein""}]"
This result is in agreement with the model shown in Figure 6 where all positive regulation takes place via either ssrB or slyA or both as tested further below.	"ssrB	114	118	Protein"	"slyA	122	126	Protein"	"[{""token"": ""ssrB"", ""start_span"": 114, ""end_span"": 118, ""type"": ""Protein""}, {""token"": ""slyA"", ""start_span"": 122, ""end_span"": 126, ""type"": ""Protein""}]"
slyA transcriptional activation by PhoP has been reported [ 63], [ 64].	"slyA	0	4	Protein"	"PhoP	35	39	Protein"	"[{""token"": ""slyA"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}, {""token"": ""PhoP"", ""start_span"": 35, ""end_span"": 39, ""type"": ""Protein""}]"
To determine epistatic relationships, we introduced a slyA - expressing plasmid, pBAD30SlyA, into each regulatory mutant and examined complementation in each mutant background compared to an empty vector control ( Figure 7C).	"slyA	54	58	Protein"	"pBAD30SlyA	81	91	Protein"	"[{""token"": ""slyA"", ""start_span"": 54, ""end_span"": 58, ""type"": ""Protein""}, {""token"": ""pBAD30SlyA"", ""start_span"": 81, ""end_span"": 91, ""type"": ""Protein""}]"
This suggests that slyA can regulate expression of SPI - 2 in a way that is independent of ssrB.	"slyA	19	23	Protein"	"ssrB	91	95	Protein"	"[{""token"": ""slyA"", ""start_span"": 19, ""end_span"": 23, ""type"": ""Protein""}, {""token"": ""ssrB"", ""start_span"": 91, ""end_span"": 95, ""type"": ""Protein""}]"
This result is striking, given that STM3117 - 3120 are not transcribed under a variety of in vitro conditions including AMM1 and 2 and the many conditions corresponding to the transcriptional profiles reported for microarrays archived in GEO ( [ 68], J. McDermott and L Shi, Unpubl. Obs.).	"STM3117	36	43	Protein"	"3120	46	50	Protein"	"[{""token"": ""STM3117"", ""start_span"": 36, ""end_span"": 43, ""type"": ""Protein""}, {""token"": ""3120"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}]"
