The relationship of glycosylation and isoelectric point with tumor accumulation of avidin.	"avidin	83	89	Protein"	"[{""token"": ""avidin"", ""start_span"": 83, ""end_span"": 89, ""type"": ""Protein""}]"
Consistent with the results from previous studies on transgenic mice that expressed mutant Atrophin - 1 with 65 glutamines, Atro - 118Q mice exhibited several neurodegenerative phenotypes that are commonly seen in DRPLA patients, including ataxia, tremors, and other motor defects.	"Atrophin - 1	91	103	Protein"	"[{""token"": ""Atrophin - 1"", ""start_span"": 91, ""end_span"": 103, ""type"": ""Protein""}]"
Overexpression of wild - type human Atrophin - 1 could not rescue the motor and survival defects in Atro - 118Q mice, indicating that the mutant protein with polyglutamine expansion does not simply function in a dominant negative manner.	"Atrophin - 1	36	48	Protein"	"[{""token"": ""Atrophin - 1"", ""start_span"": 36, ""end_span"": 48, ""type"": ""Protein""}]"
Biochemical analysis of Atro - 118Q mice revealed hypoacetylation of histone H3 in brain tissues and thus suggested that global gene repression is an underlying mechanism for neurodegeneration in this mouse model.	"histone H3	69	79	Protein"	"[{""token"": ""histone H3"", ""start_span"": 69, ""end_span"": 79, ""type"": ""Protein""}]"
Changes in liver and plasma acetylcholinesterase in rats with cirrhosis induced by bile duct ligation.	"acetylcholinesterase	28	48	Protein"	"[{""token"": ""acetylcholinesterase"", ""start_span"": 28, ""end_span"": 48, ""type"": ""Protein""}]"
In the current study, liver and plasma AChE levels were investigated in rats with cirrhosis induced after 3 weeks of bile duct ligation ( BDL).	"AChE	39	43	Protein"	"[{""token"": ""AChE"", ""start_span"": 39, ""end_span"": 43, ""type"": ""Protein""}]"
A selective loss of tetrameric ( G4) AChE was detected in BDL rats, an effect also observed in rats with carbon tetrachloride - induced cirrhosis.	"AChE	37	41	Protein"	"[{""token"": ""AChE"", ""start_span"": 37, ""end_span"": 41, ""type"": ""Protein""}]"
In accordance, SDS - PAGE analysis showed that the major 55 - kd immunoreactive AChE band was decreased in BDL as compared with NL.	"AChE	80	84	Protein"	"[{""token"": ""AChE"", ""start_span"": 80, ""end_span"": 84, ""type"": ""Protein""}]"
Plasma from BDL rats had approximately 45% lower AChE activity than controls, displaying decreased G4 levels and altered lectin - binding patterns.	"AChE	49	53	Protein"	"[{""token"": ""AChE"", ""start_span"": 49, ""end_span"": 53, ""type"": ""Protein""}]"
NF - kappaB activation upregulates fibroblast growth factor 8 expression in prostate cancer cells.	"fibroblast growth factor 8	35	61	Protein"	"[{""token"": ""fibroblast growth factor 8"", ""start_span"": 35, ""end_span"": 61, ""type"": ""Protein""}]"
METHODS: FGF8 transcriptional response to TSA was investigated by gene reporter assays, RT - PCR, and Western blotting.	"FGF8	9	13	Protein"	"[{""token"": ""FGF8"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}]"
RESULTS: FGF8 is upregulated in response to TSA treatment along with NF - kappaB transcriptional activity.	"FGF8	9	13	Protein"	"[{""token"": ""FGF8"", ""start_span"": 9, ""end_span"": 13, ""type"": ""Protein""}]"
PI - 3K activity is required for TSA mediated FGF8 upregulation.	"FGF8	46	50	Protein"	"[{""token"": ""FGF8"", ""start_span"": 46, ""end_span"": 50, ""type"": ""Protein""}]"
CONCLUSION: Using TSA treatment in prostate cancer cells, a requirement of PI - 3K activity in mediating TSA function is demonstrated and a novel role for NF - kappaB in the regulation of FGF8 expression is uncovered.	"FGF8	188	192	Protein"	"[{""token"": ""FGF8"", ""start_span"": 188, ""end_span"": 192, ""type"": ""Protein""}]"
Epigenetics of gene expression in human hepatoma cells: expression profiling the response to inhibition of DNA methylation and histone deacetylation.	"histone	127	134	Protein"	"[{""token"": ""histone"", ""start_span"": 127, ""end_span"": 134, ""type"": ""Protein""}]"
BACKGROUND: DNA methylation and histone deacetylation are epigenetic mechanisms that play major roles in eukaryotic gene regulation.	"histone	32	39	Protein"	"[{""token"": ""histone"", ""start_span"": 32, ""end_span"": 39, ""type"": ""Protein""}]"
We hypothesize that many genes in the human hepatoma cell line HepG2 are regulated by DNA methylation and histone deacetylation.	"histone	106	113	Protein"	"[{""token"": ""histone"", ""start_span"": 106, ""end_span"": 113, ""type"": ""Protein""}]"
Treatment with 5 - aza - 2 ' - deoxycytidine ( 5 - aza - dC) to inhibit DNA methylation with and / or Trichostatin A ( TSA) to inhibit histone deacetylation should allow us to identify genes that are regulated epigenetically in hepatoma cells.	"histone	135	142	Protein"	"[{""token"": ""histone"", ""start_span"": 135, ""end_span"": 142, ""type"": ""Protein""}]"
Epigenetic regulation of the imprinted U2af1 - rs1 gene during retinoic acid - induced differentiation of embryonic stem cells.	"U2af1 - rs1	39	50	Protein"	"[{""token"": ""U2af1 - rs1"", ""start_span"": 39, ""end_span"": 50, ""type"": ""Protein""}]"
The present work analyzes the involvement of these mechanisms in the expression of the U2af1 - rs1 imprinted gene during the differentiation process of embryonic stem ( ES) cells induced by retinoic acid.	"U2af1 - rs1	87	98	Protein"	"[{""token"": ""U2af1 - rs1"", ""start_span"": 87, ""end_span"": 98, ""type"": ""Protein""}]"
By DNA digestion with methylation - dependent or independent restriction enzymes and consecutive Southern blot, we have found that methylation of the U2af1 - rs1 gene increases in differentiated ES cells and in embryoid bodies.	"U2af1 - rs1	150	161	Protein"	"[{""token"": ""U2af1 - rs1"", ""start_span"": 150, ""end_span"": 161, ""type"": ""Protein""}]"
However, northern blot and real - time reverse transcription - polymerase chain reaction analysis showed a higher expression of the U2af1 - rs1 gene in differentiated ES cells and in embryoid bodies than in undifferentiated ones.	"U2af1 - rs1	132	143	Protein"	"[{""token"": ""U2af1 - rs1"", ""start_span"": 132, ""end_span"": 143, ""type"": ""Protein""}]"
On the other hand, the sensitivity to DNase - I assay demonstrated an open chromatin conformation for differentiated cells with regard to undifferentiated ES cells.	"DNase - I	38	47	Protein"	"[{""token"": ""DNase - I"", ""start_span"": 38, ""end_span"": 47, ""type"": ""Protein""}]"
Our results suggest that the expression of the U2af1 - rs1 gene would be regulated by changes in chromatin structure rather than by DNA methylation during the RA - induced process of differentiation of ES cells.	"U2af1 - rs1	47	58	Protein"	"[{""token"": ""U2af1 - rs1"", ""start_span"": 47, ""end_span"": 58, ""type"": ""Protein""}]"
Members of this family are found in multiprotein complexes that posttranslationally modify histones, suggesting that these proteins serve a general role in permitting various enzymatic activities to interact with nucleosomes.	"histones	91	99	Protein"	"[{""token"": ""histones"", ""start_span"": 91, ""end_span"": 99, ""type"": ""Protein""}]"
Clioquinol inhibited ubiquitination of HIF - 1alpha in a Cu ( II) - and Zn ( II) - dependent manner.	"HIF - 1alpha	39	51	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 39, ""end_span"": 51, ""type"": ""Protein""}]"
Therefore, it leads to the accumulation of HIF - 1alpha that is prolyl but not asparaginyl hydroxylated.	"HIF - 1alpha	43	55	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 43, ""end_span"": 55, ""type"": ""Protein""}]"
Our results indicate that Clioquinol could be useful as an inducer of HIF - 1alpha and its target genes in ischemic diseases.	"HIF - 1alpha	70	82	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 70, ""end_span"": 82, ""type"": ""Protein""}]"
We found that dendritic cell - specific intercellular adhesion molecule - 3 - grabbing nonintegrin enhancement of virus replication can be modulated by the V1V2 length, the overall V3 charge and N - linked glycosylation patterns; similar results were observed with immature dendritic cells.	"dendritic cell - specific intercellular adhesion molecule - 3 - grabbing nonintegrin	14	98	Protein"	"[{""token"": ""dendritic cell - specific intercellular adhesion molecule - 3 - grabbing nonintegrin"", ""start_span"": 14, ""end_span"": 98, ""type"": ""Protein""}]"
Viruses with higher V3 charges are more readily transferred to CD4 ( +) lymphocytes when the V1V2 region is longer and contains an additional N - linked glycosylation site, whereas transfer of viruses with lower V3 charges is greater when the V1V2 region is shorter.	"CD4	63	66	Protein"	"[{""token"": ""CD4"", ""start_span"": 63, ""end_span"": 66, ""type"": ""Protein""}]"
Viruses differing in the V1V2 and V3 regions also demonstrated differential capture by Raji - DC - SIGN cells in the presence of mannan.	"DC - SIGN	94	103	Protein"	"[{""token"": ""DC - SIGN"", ""start_span"": 94, ""end_span"": 103, ""type"": ""Protein""}]"
These results indicate that the interaction between HIV - 1 and immature dendritic cells via such molecules as dendritic cell - specific intercellular adhesion molecule - 3 - grabbing nonintegrin may have a role in selecting viruses undergoing transmission and evolution during disease progression.	"dendritic cell - specific intercellular adhesion molecule - 3 - grabbing nonintegrin	111	195	Protein"	"[{""token"": ""dendritic cell - specific intercellular adhesion molecule - 3 - grabbing nonintegrin"", ""start_span"": 111, ""end_span"": 195, ""type"": ""Protein""}]"
Some of these genes were identified by chromatin immunoprecipitation as direct ALR targets.	"ALR	79	82	Protein"	"[{""token"": ""ALR"", ""start_span"": 79, ""end_span"": 82, ""type"": ""Protein""}]"
The most characteristic features of the ALR knockdown cells were changes in the dynamics and mode of cell spreading / polarization, reduced migration capacity, impaired anchorage - dependent and - independent growth, and decreased tumorigenicity in mice.	"ALR	40	43	Protein"	"[{""token"": ""ALR"", ""start_span"": 40, ""end_span"": 43, ""type"": ""Protein""}]"
Taken together, our results suggest that ALR is a transcriptional activator that induces the transcription of target genes by covalent histone modification.	"ALR	41	44	Protein"	"[{""token"": ""ALR"", ""start_span"": 41, ""end_span"": 44, ""type"": ""Protein""}]"
ALR appears to be involved in the regulation of adhesion - related cytoskeletal events, which might affect cell growth and survival.	"ALR	0	3	Protein"	"[{""token"": ""ALR"", ""start_span"": 0, ""end_span"": 3, ""type"": ""Protein""}]"
Glycogen synthase kinase 3 phosphorylates hypoxia - inducible factor 1alpha and mediates its destabilization in a VHL - independent manner.	"hypoxia - inducible factor 1alpha	42	75	Protein"	"[{""token"": ""hypoxia - inducible factor 1alpha"", ""start_span"": 42, ""end_span"": 75, ""type"": ""Protein""}]"
However, HIF - 1alpha is not a direct substrate for this kinase.	"HIF - 1alpha	9	21	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 9, ""end_span"": 21, ""type"": ""Protein""}]"
These effects were mediated via three amino acid residues in the oxygen - dependent degradation domain of HIF - 1alpha.	"HIF - 1alpha	106	118	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 106, ""end_span"": 118, ""type"": ""Protein""}]"
In line with these observations, the inhibition of the proteasome reversed the GSK - 3 effects, indicating that GSK - 3 may target HIF - 1alpha to the proteasome by phosphorylation.	"HIF - 1alpha	131	143	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 131, ""end_span"": 143, ""type"": ""Protein""}]"
Thus, the direct regulation of HIF - 1alpha stability by GSK - 3 may influence physiological processes or pathophysiological situations such as metabolic diseases or tumors.	"HIF - 1alpha	31	43	Protein"	"[{""token"": ""HIF - 1alpha"", ""start_span"": 31, ""end_span"": 43, ""type"": ""Protein""}]"
Processive versus distributive methyl group transfer was assessed for pea Rubisco large subunit methyltransferase, a SET domain protein lysine methyltransferase catalyzing the formation of trimethyllysine - 14 in the large subunit of Rubisco.	"Rubisco large subunit methyltransferase	74	113	Protein"	"[{""token"": ""Rubisco large subunit methyltransferase"", ""start_span"": 74, ""end_span"": 113, ""type"": ""Protein""}]"
Catalytically competent complexes between an immobilized form of des ( methyl) Rubisco and Rubisco large subunit methyltransferase were used to demonstrate enzyme release that was co - incident with and dependent on formation of trimethyllysine.	"Rubisco large subunit methyltransferase	91	130	Protein"	"[{""token"": ""Rubisco large subunit methyltransferase"", ""start_span"": 91, ""end_span"": 130, ""type"": ""Protein""}]"
dSet2 RNAi blocks puparium formation and adult development, and causes partial ( blister) separation of the dorsal and ventral wing epithelia, defects suggesting a failure of the ecdysone - controlled genetic program.	"dSet2	0	5	Protein"	"[{""token"": ""dSet2"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}]"
Using immunoprecipitation, we demonstrate that dSet2 associates with the hyperphosphorylated form of RNA polymerase II ( RNAPII).	"dSet2	47	52	Protein"	"[{""token"": ""dSet2"", ""start_span"": 47, ""end_span"": 52, ""type"": ""Protein""}]"
VIPL has sugar - binding activity specific for high - mannose - type N - glycans, and glucosylation of the alpha1, 2 mannotriosyl branch blocks its binding.	"VIPL	0	4	Protein"	"[{""token"": ""VIPL"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
The transcription factor snail mediates epithelial to mesenchymal transitions by repression of estrogen receptor - alpha.	"estrogen receptor - alpha	95	120	Protein"	"[{""token"": ""estrogen receptor - alpha"", ""start_span"": 95, ""end_span"": 120, ""type"": ""Protein""}]"
The estrogen receptor ( ER) - alpha ( ESR1) is a key regulatory molecule in mammary epithelial cell development.	"ESR1	38	42	Protein"	"[{""token"": ""ESR1"", ""start_span"": 38, ""end_span"": 42, ""type"": ""Protein""}]"
Loss of ER - alpha in breast cancer is correlated with poor prognosis, increased recurrence after treatment, and an elevated incidence of metastasis.	"ER - alpha	8	18	Protein"	"[{""token"": ""ER - alpha"", ""start_span"": 8, ""end_span"": 18, ""type"": ""Protein""}]"
MTA3 in turn represses expression of Snail, a transcription factor linked to epithelial to mesenchymal transition and cancer metastasis.	"MTA3	0	4	Protein"	"[{""token"": ""MTA3"", ""start_span"": 0, ""end_span"": 4, ""type"": ""Protein""}]"
To elucidate its role ( s) in epithelial to mesenchymal transition ( EMT), we expressed Snail in the noninvasive, ER - alpha - positive MCF - 7 cell line.	"ER - alpha	114	124	Protein"	"[{""token"": ""ER - alpha"", ""start_span"": 114, ""end_span"": 124, ""type"": ""Protein""}]"
A consequence of loss of ER - alpha function in this system was the increased abundance of key components of the TGF - beta signaling pathway.	"ER - alpha	25	35	Protein"	"[{""token"": ""ER - alpha"", ""start_span"": 25, ""end_span"": 35, ""type"": ""Protein""}]"
Thus, cross - talk among ER - alpha, Snail, and the TGF - beta pathway appears to control critical phenotypic properties of breast cancer cells.	"ER - alpha	25	35	Protein"	"[{""token"": ""ER - alpha"", ""start_span"": 25, ""end_span"": 35, ""type"": ""Protein""}]"
DNA stool test for colorectal cancer: hypermethylation of the secreted frizzled - related protein - 1 gene.	"secreted frizzled - related protein - 1	62	101	Protein"	"[{""token"": ""secreted frizzled - related protein - 1"", ""start_span"": 62, ""end_span"": 101, ""type"": ""Protein""}]"
PURPOSE: To investigate a potential mode of noninvasive screening for colorectal cancer, we evaluated the hypermethylation of the secreted frizzled - related protein - 1 gene promoter in human stool DNA.	"secreted frizzled - related protein - 1	130	169	Protein"	"[{""token"": ""secreted frizzled - related protein - 1"", ""start_span"": 130, ""end_span"": 169, ""type"": ""Protein""}]"
METHODS: In stool samples from 36 patients with colorectal neoplasia ( 7 adenoma, 29 colorectal cancer) and 17 healthy control subjects, isolated DNA was treated with sodium bisulfite and analyzed by methylation - specific polymerase chain reaction with primers specific for methylated or unmethylated promoter sequences of the secreted frizzled - related protein - 1 gene.	"secreted frizzled - related protein - 1	328	367	Protein"	"[{""token"": ""secreted frizzled - related protein - 1"", ""start_span"": 328, ""end_span"": 367, ""type"": ""Protein""}]"
RESULTS: Hypermethylation of the secreted frizzled - related protein - 1 promoter was present in the stool DNA of patients with adenoma and colorectal cancer.	"secreted frizzled - related protein - 1	33	72	Protein"	"[{""token"": ""secreted frizzled - related protein - 1"", ""start_span"": 33, ""end_span"": 72, ""type"": ""Protein""}]"
The difference in hypermethylation status of the secreted frizzled - related protein - 1 promoter between the patients with colorectal neoplasia and the control group was statistically highly significant ( P < 0. 001).	"secreted frizzled - related protein - 1	49	88	Protein"	"[{""token"": ""secreted frizzled - related protein - 1"", ""start_span"": 49, ""end_span"": 88, ""type"": ""Protein""}]"
CONCLUSIONS: The results indicate that this DNA stool test of hypermethylation of the secreted frizzled - related protein - 1 promoter is a sensitive and specific method.	"secreted frizzled - related protein - 1	86	125	Protein"	"[{""token"": ""secreted frizzled - related protein - 1"", ""start_span"": 86, ""end_span"": 125, ""type"": ""Protein""}]"
Moreover, the maintenance of both conserved residues and spacing within the HCCH motif is critical for Vif function.	"Vif	103	106	Protein"	"[{""token"": ""Vif"", ""start_span"": 103, ""end_span"": 106, ""type"": ""Protein""}]"
Splicing determines the glycosylation state of ameloblastin.	"ameloblastin	47	59	Protein"	"[{""token"": ""ameloblastin"", ""start_span"": 47, ""end_span"": 59, ""type"": ""Protein""}]"
We tested the hypothesis that ameloblastin N - terminal cleavage products are glycosylated.	"ameloblastin	30	42	Protein"	"[{""token"": ""ameloblastin"", ""start_span"": 30, ""end_span"": 42, ""type"": ""Protein""}]"
Edman sequencing of the lectin - positive bands gave the Ambn N - terminal sequence: VPAFPRQPGTXGVASLXLE.	"Ambn	57	61	Protein"	"[{""token"": ""Ambn"", ""start_span"": 57, ""end_span"": 61, ""type"": ""Protein""}]"
The O - glycosylation site was determined by Edman sequencing of pronase - digested Ambn, which gave HPPPLPXQPS, indicating that Ser ( 86) is the site of the O - linked glycosylation.	"Ambn	84	88	Protein"	"[{""token"": ""Ambn"", ""start_span"": 84, ""end_span"": 88, ""type"": ""Protein""}]"
This modification is within the 15 - amino - acid segment ( 73 - YEYSLPVHPPPLPSQ - 87) deleted by splicing in the mRNA encoding the 380 - amino - acid Ambn isoform.	"Ambn	151	155	Protein"	"[{""token"": ""Ambn"", ""start_span"": 151, ""end_span"": 155, ""type"": ""Protein""}]"
Map - based cloning identified HYR1, a UDP glycosyltransferase ( UGT), as causative for hypostatin resistance.	"HYR1	31	35	Protein"	"[{""token"": ""HYR1"", ""start_span"": 31, ""end_span"": 35, ""type"": ""Protein""}]"
Multiple lines of evidence demonstrate that HYR1 glucosylates hypostatin in vivo to form a bioactive glucoside.	"HYR1	44	48	Protein"	"[{""token"": ""HYR1"", ""start_span"": 44, ""end_span"": 48, ""type"": ""Protein""}]"
Additionally, we delineated a HYR1 substrate motif and used it to identify another molecule modulated by glucosylation.	"HYR1	30	34	Protein"	"[{""token"": ""HYR1"", ""start_span"": 30, ""end_span"": 34, ""type"": ""Protein""}]"
Sel10 can function as a negative regulator of Notch and exhibits activities of a tumor - suppressor protein.	"Sel10	0	5	Protein"	"[{""token"": ""Sel10"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}]"
The initiation and pattern of spread of histone H4 acetylation parallel the order of transcriptional activation of genes in the aflatoxin cluster.	"histone H4	40	50	Protein"	"[{""token"": ""histone H4"", ""start_span"": 40, ""end_span"": 50, ""type"": ""Protein""}]"
Using chromatin immunoprecipitation, we demonstrated a positive correlation between the initiation and spread of histone H4 acetylation in aflatoxin promoters and the onset of accumulation of aflatoxin proteins and aflatoxin.	"histone H4	113	123	Protein"	"[{""token"": ""histone H4"", ""start_span"": 113, ""end_span"": 123, ""type"": ""Protein""}]"
The data suggest that the order of genes within the aflatoxin cluster determines the timing and order of transcriptional activation, and that the site of initiation and spread of histone H4 acetylation mediate this process.	"histone H4	179	189	Protein"	"[{""token"": ""histone H4"", ""start_span"": 179, ""end_span"": 189, ""type"": ""Protein""}]"
Therefore, methylated DNA in transcribed regions of these genes has been shown here to co - exist with active histone modification marks, indicating that these functionally opposing epigenetic signatures can overlap.	"histone	110	117	Protein"	"[{""token"": ""histone"", ""start_span"": 110, ""end_span"": 117, ""type"": ""Protein""}]"
This suggests that an extended large region of unmethylated DNA in combination with distinct histone modification patterns are at the basis of UCOE function.	"histone	93	100	Protein"	"[{""token"": ""histone"", ""start_span"": 93, ""end_span"": 100, ""type"": ""Protein""}]"
E - cadherins play an essential role in maintaining epithelial polarity by forming Ca2 + - dependent adherens junctions between epithelial cells.	"E - cadherins	0	13	Protein"	"[{""token"": ""E - cadherins"", ""start_span"": 0, ""end_span"": 13, ""type"": ""Protein""}]"
We demonstrate that Ca2 + depletion induces activation of Cdc42.	"Cdc42	58	63	Protein"	"[{""token"": ""Cdc42"", ""start_span"": 58, ""end_span"": 63, ""type"": ""Protein""}]"
In the fission yeast Schizosaccharomyces pombe, at least 13 SET domain - containing proteins have been identified in the genome, four of which are involved in transcriptional regulation through their modification of histone tails.	"histone	216	223	Protein"	"[{""token"": ""histone"", ""start_span"": 216, ""end_span"": 223, ""type"": ""Protein""}]"
The methylated protein was isolated by two - dimensional gel electrophoresis or by reverse - phase chromatography and was identified as Rpl12 by mass spectrometry.	"Rpl12	136	141	Protein"	"[{""token"": ""Rpl12"", ""start_span"": 136, ""end_span"": 141, ""type"": ""Protein""}]"
Though ubiquitination is essential for checkpoint function, the sites, linkages and ubiquitin conjugating enzyme ( E2) specificity are controversial.	"ubiquitin	7	16	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 7, ""end_span"": 16, ""type"": ""Protein""}]"
Mutagenesis of Lys residues identified in vitro indicates that site - specific Ubc4 - dependent Chf protein autoubiquitination is responsible for Chf protein turnover.	"Ubc4	79	83	Protein"	"[{""token"": ""Ubc4"", ""start_span"": 79, ""end_span"": 83, ""type"": ""Protein""}]"
The histone - like NF - Y is a bifunctional transcription factor.	"histone	4	11	Protein"	"[{""token"": ""histone"", ""start_span"": 4, ""end_span"": 11, ""type"": ""Protein""}]"
To gain insights into NF - Y - dependent transcriptional regulation, we assessed its relationships with positive histone marks by chromatin immunoprecipitation - on - chip and correlative - profiling studies.	"histone	113	120	Protein"	"[{""token"": ""histone"", ""start_span"": 113, ""end_span"": 120, ""type"": ""Protein""}]"
These data indicate that NF - Y is embedded in positive as well as in negative methyl histone marks, serving a dual function in transcriptional regulation, as an activator or as a repressor.	"histone	86	93	Protein"	"[{""token"": ""histone"", ""start_span"": 86, ""end_span"": 93, ""type"": ""Protein""}]"
Additionally, we demonstrate, using a combination of short hairpin RNA, dominant negative, and co - immunoprecipitation studies, that both KCa3. 1 and KCa2. 3 are translocated out of the endoplasmic reticulum associated with Derlin - 1.	"Derlin - 1	225	235	Protein"	"[{""token"": ""Derlin - 1"", ""start_span"": 225, ""end_span"": 235, ""type"": ""Protein""}]"
These misfolded channels are poly - ubiquitylated, recognized by p97, and targeted for proteasomal degradation.	"p97	65	68	Protein"	"[{""token"": ""p97"", ""start_span"": 65, ""end_span"": 68, ""type"": ""Protein""}]"
Fibulin - 5 is believed to play an important role in the elastic fiber formation.	"Fibulin - 5	0	11	Protein"	"[{""token"": ""Fibulin - 5"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Protein""}]"
Fibulin - 5 binding was significantly reduced to either fragment and also to a mixture of the two fragments.	"Fibulin - 5	0	11	Protein"	"[{""token"": ""Fibulin - 5"", ""start_span"": 0, ""end_span"": 11, ""type"": ""Protein""}]"
To further understand cellular mechanisms of TRB3 regulation, we performed a yeast two - hybrid screen to identify novel TRB3 interacting proteins and totally obtained ten in - frame fused preys.	"TRB3	45	49	Protein"	"[{""token"": ""TRB3"", ""start_span"": 45, ""end_span"": 49, ""type"": ""Protein""}]"
Histone deacetylase 3 localizes to the mitotic spindle and is required for kinetochore - microtubule attachment.	"Histone deacetylase 3	0	21	Protein"	"[{""token"": ""Histone deacetylase 3"", ""start_span"": 0, ""end_span"": 21, ""type"": ""Protein""}]"
Recent studies show that HDAC3 may play a role in cell proliferation.	"HDAC3	25	30	Protein"	"[{""token"": ""HDAC3"", ""start_span"": 25, ""end_span"": 30, ""type"": ""Protein""}]"
Altered HDAC3 level increases G ( 2) / M cells, but the mechanism remains unknown.	"HDAC3	8	13	Protein"	"[{""token"": ""HDAC3"", ""start_span"": 8, ""end_span"": 13, ""type"": ""Protein""}]"
Knockdown of HDAC3 or N - CoR resulted in a collapsed mitotic spindle that was surrounded by chromosomes arranged in a dome - like configuration.	"HDAC3	13	18	Protein"	"[{""token"": ""HDAC3"", ""start_span"": 13, ""end_span"": 18, ""type"": ""Protein""}]"
Whereas the kinetochores and the spindle assembly checkpoint appeared intact in HDAC3 - deficient cells, kinetochore - microtubule attachments were impaired because spindle microtubules were unstable in response to cold treatment.	"HDAC3	80	85	Protein"	"[{""token"": ""HDAC3"", ""start_span"": 80, ""end_span"": 85, ""type"": ""Protein""}]"
These data suggest that the HDAC3 complex is involved in the formation of functional mitotic spindles and proper kinetochore - microtubule attachment.	"HDAC3	28	33	Protein"	"[{""token"": ""HDAC3"", ""start_span"": 28, ""end_span"": 33, ""type"": ""Protein""}]"
The level or distribution of acetylated alpha - tubulin was not altered in HDAC3 - deficient cells.	"HDAC3	75	80	Protein"	"[{""token"": ""HDAC3"", ""start_span"": 75, ""end_span"": 80, ""type"": ""Protein""}]"
Together, our data revealed a novel regulatory mechanism for the tumor suppressor function of Merlin.	"Merlin	94	100	Protein"	"[{""token"": ""Merlin"", ""start_span"": 94, ""end_span"": 100, ""type"": ""Protein""}]"
The novel gene LRP15 is regulated by DNA methylation and confers increased efficiency of DNA repair of ultraviolet - induced DNA damage.	"LRP15	15	20	Protein"	"[{""token"": ""LRP15"", ""start_span"": 15, ""end_span"": 20, ""type"": ""Protein""}]"
LRP15 is a novel gene cloned from lymphocytic cells, and its function is still unknown.	"LRP15	0	5	Protein"	"[{""token"": ""LRP15"", ""start_span"": 0, ""end_span"": 5, ""type"": ""Protein""}]"
Bioinformatic data showed that LRP15 might be regulated by DNA methylation and had an important role in DNA repair.	"LRP15	31	36	Protein"	"[{""token"": ""LRP15"", ""start_span"": 31, ""end_span"": 36, ""type"": ""Protein""}]"
The results showed ( 1) the promoter of LRP15 was hypermethylated in HeLa cells, resulting a silence of its expression.	"LRP15	40	45	Protein"	"[{""token"": ""LRP15"", ""start_span"": 40, ""end_span"": 45, ""type"": ""Protein""}]"
This approach led to the identification of 58 yeast proteins that interacted with p33 replication protein.	"p33	82	85	Protein"	"[{""token"": ""p33"", ""start_span"": 82, ""end_span"": 85, ""type"": ""Protein""}]"
The identified host proteins included protein chaperones, ubiquitin - associated proteins, translation factors, RNA - modifying enzymes, and other proteins with yet - unknown functions.	"ubiquitin	58	67	Protein"	"[{""token"": ""ubiquitin"", ""start_span"": 58, ""end_span"": 67, ""type"": ""Protein""}]"
Downregulation of Cdc34p expression in yeast, which supports replication of a TBSV replicon RNA ( repRNA), reduced repRNA accumulation and the activity of the tombusvirus replicase by up to fivefold.	"Cdc34p	18	24	Protein"	"[{""token"": ""Cdc34p"", ""start_span"": 18, ""end_span"": 24, ""type"": ""Protein""}]"
In addition, we have shown that p33 becomes ubiquitinated in vivo.	"p33	32	35	Protein"	"[{""token"": ""p33"", ""start_span"": 32, ""end_span"": 35, ""type"": ""Protein""}]"
We propose that ubiquitination of p33 likely alters its function or affects the recruitment of host factors during TBSV replication.	"p33	34	37	Protein"	"[{""token"": ""p33"", ""start_span"": 34, ""end_span"": 37, ""type"": ""Protein""}]"
O6 - Methylguanine - DNA - methyltransferase in recurring anaplastic ependymomas: PCR and immunohistochemistry.	"O6 - Methylguanine - DNA - methyltransferase	0	44	Protein"	"[{""token"": ""O6 - Methylguanine - DNA - methyltransferase"", ""start_span"": 0, ""end_span"": 44, ""type"": ""Protein""}]"
O ( 6) - Methylguanine - DNA - Methyltransferase ( MGMT) is a DNA repair protein considered to be a chemosensitivity predictor.	"MGMT	51	55	Protein"	"[{""token"": ""MGMT"", ""start_span"": 51, ""end_span"": 55, ""type"": ""Protein""}]"
These results may indicate MGMT as a factor of chemoresistance to alkylating drugs in anaplastic ependymomas and support the uncertainties regarding the actual benefit of chemotherapy for patients with anaplastic ependymomas.	"MGMT	27	31	Protein"	"[{""token"": ""MGMT"", ""start_span"": 27, ""end_span"": 31, ""type"": ""Protein""}]"
Recently, two small molecule inhibitors of the aggresome pathway and HDAC6 have been described.	"HDAC6	69	74	Protein"	"[{""token"": ""HDAC6"", ""start_span"": 69, ""end_span"": 74, ""type"": ""Protein""}]"
In this review, we summarize recent reports on targeting the aggresome pathway and HDAC6 in hematologic malignancies.	"HDAC6	83	88	Protein"	"[{""token"": ""HDAC6"", ""start_span"": 83, ""end_span"": 88, ""type"": ""Protein""}]"
